# CSP violation baseline — generated by `bin/rails csp:baseline`.
# Pre-existing inline style/script/event-handler debt that csp:report tolerates.
# Goal: burn this list down to zero. Do NOT add new entries by hand.
# Format: <file>|<label>|<code snippet>
app/views/admin/brokers/show.html.erb|<style> block|<style>
app/views/admin/business_process_workflows/edit.html.erb|inline <script>|<script>
app/views/admin/business_process_workflows/edit.html.erb|inline style attribute|<svg id="connections-svg" class="absolute inset-0 w-full h-full pointer-events-none" style="z-index: 1;">
app/views/admin/business_process_workflows/edit.html.erb|inline style attribute|style="height: 600px; background: radial-gradient(circle, #e5e7eb 1px, transparent 1px); background-size: 20px 20px;"
app/views/admin/calculators/index.html.erb|inline style attribute|<div class="calculate-section" style="padding: 1rem;">
app/views/admin/calculators/index.html.erb|inline style attribute|<div class="loading-overlay" style="display: none;" data-monte-carlo-calculator-target="loadingOverlay">
app/views/admin/calculators/index.html.erb|inline style attribute|<div class="mb-3" data-monte-carlo-calculator-target="hedgingCap" style="display: none;">
app/views/admin/calculators/index.html.erb|inline style attribute|<div class="mb-3" data-monte-carlo-calculator-target="hedgingCost" style="display: none;">
app/views/admin/calculators/index.html.erb|inline style attribute|<div class="mb-3" data-monte-carlo-calculator-target="hedgingMaxLoss" style="display: none;">
app/views/admin/calculators/index.html.erb|inline style attribute|<div class="results-container" data-monte-carlo-calculator-target="results" style="display: none;">
app/views/admin/calculators/index.html.erb|inline style attribute|<div class="spinner-border ms-3" role="status" style="display: none;"
app/views/admin/calculators/index.html.erb|inline style attribute|<div style="margin-top: 2rem;"></div>
app/views/admin/calculators/index.html.erb|inline style attribute|<p class="mt-3"><span style="font-size: 1.5em;">🎲</span> Monte Carlo simulation <span style="font-size: 1.5em;">🏁</span>
app/views/admin/calculators/index.html.erb|inline style attribute|<tr><td colspan="11" style="text-align: center; color: #6b7280;">No data available</td></tr>
app/views/admin/calculators/index.html.erb|inline style attribute|<tr><td colspan="7" style="text-align: center; color: #6b7280;">No data available</td></tr>
app/views/admin/contract_clauses/create.turbo_stream.erb|inline style attribute|<div class="clause-management" data-lender-clauses-target="managementInterface" style="display: none;">
app/views/admin/contract_clauses/destroy.turbo_stream.erb|inline style attribute|<div class="clause-management" data-lender-clauses-target="managementInterface" style="display: none;">
app/views/admin/contracts/_form.html.erb|<style> block|<style>
app/views/admin/contracts/_results.html.erb|inline style attribute|<div style="padding: 40px; text-align: center; color: #6b7280;">
app/views/admin/contracts/edit.html.erb|<style> block|<style>
app/views/admin/contracts/index.html.erb|<style> block|<style>
app/views/admin/contracts/new.html.erb|<style> block|<style>
app/views/admin/contracts/new.html.erb|inline style attribute|<div class="admin-empty-state" style="margin-top: 40px;">
app/views/admin/contracts/show.html.erb|<style> block|<style>
app/views/admin/core_logic_test/index.html.erb|inline style attribute|<small style="color: #6b7280; font-weight: normal;">Test the CoreLogic API integration</small>
app/views/admin/email_templates/_form.html.erb|<style> block|<style>
app/views/admin/email_templates/_form.html.erb|inline style attribute|<div class="editor-note" style="margin: 16px 0 12px 0; padding: 12px; background: #e3f2fd; border: 1px solid #bae6fd; bo
app/views/admin/email_templates/_form.html.erb|inline style attribute|<div id="field-helper-panel" style="margin-top: 12px; padding: 16px; background: #f8fafc; border: 1px solid #e5e7eb; bor
app/views/admin/email_templates/_form.html.erb|inline style attribute|<div style="display: flex; justify-content: space-between; align-items: center; margin-bottom: 12px;">
app/views/admin/email_templates/_form.html.erb|inline style attribute|<h4 style="margin: 0; color: #374151;">Available Field Placeholders</h4>
app/views/admin/email_templates/_form.html.erb|inline style attribute|<small class="text-muted" style="color: #0369a1;">
app/views/admin/email_templates/index.html.erb|<style> block|<style>
app/views/admin/email_templates/show.html.erb|<style> block|<style>
app/views/admin/email_workflows/_step_icon.html.erb|<style> block|<style>
app/views/admin/email_workflows/_step_preview.html.erb|<style> block|<style>
app/views/admin/email_workflows/_templates_content.html.erb|<style> block|<style>
app/views/admin/email_workflows/preview.html.erb|<style> block|<style>
app/views/admin/email_workflows/show.html.erb|<style> block|<style>
app/views/admin/error_test/show.html.erb|<style> block|<style>
app/views/admin/funder_pools/edit.html.erb|<style> block|<style>
app/views/admin/funder_pools/index.html.erb|<style> block|<style>
app/views/admin/funder_pools/index.html.erb|inline style attribute|<div class="mini-allocation-progress" style="width: <%= pool.allocation_percentage %>%"></div>
app/views/admin/funder_pools/new.html.erb|<style> block|<style>
app/views/admin/funder_pools/show.html.erb|<style> block|<style>
app/views/admin/funder_pools/show.html.erb|inline style attribute|<div class="allocation-progress" style="width: <%= @funder_pool.allocation_percentage %>%"></div>
app/views/admin/legal_documents/acceptance_tracking.html.erb|<style> block|<style>
app/views/admin/legal_documents/acceptance_tracking.html.erb|inline style attribute|<button type="submit" class="btn-primary" style="padding: 10px 20px;">Apply Filter</button>
app/views/admin/legal_documents/acceptance_tracking.html.erb|inline style attribute|<div class="card" style="margin-bottom: 20px;">
app/views/admin/legal_documents/acceptance_tracking.html.erb|inline style attribute|<div class="stat-value" style="color: <%= @acceptance_rate > 80 ? '#16a34a' : (@acceptance_rate > 50 ? '#ea580c' : '#dc2
app/views/admin/legal_documents/acceptance_tracking.html.erb|inline style attribute|<div style="display: flex; flex-direction: column;">
app/views/admin/legal_documents/acceptance_tracking.html.erb|inline style attribute|<div style="display: flex; justify-content: space-between; align-items: start;">
app/views/admin/legal_documents/acceptance_tracking.html.erb|inline style attribute|<div style="display: grid; grid-template-columns: 1fr 1fr 1fr; gap: 20px; margin-bottom: 30px;">
app/views/admin/legal_documents/acceptance_tracking.html.erb|inline style attribute|<div style="font-size: 13px; text-align: left; padding: 10px; background: #f3f4f6; border-radius: 3px;">
app/views/admin/legal_documents/acceptance_tracking.html.erb|inline style attribute|<div style="margin-top: 20px; text-align: right;">
app/views/admin/legal_documents/acceptance_tracking.html.erb|inline style attribute|<div style="padding: 20px 0;">
app/views/admin/legal_documents/acceptance_tracking.html.erb|inline style attribute|<form method="get" style="display: grid; grid-template-columns: 1fr 1fr 1fr auto; gap: 15px; align-items: flex-end;">
app/views/admin/legal_documents/acceptance_tracking.html.erb|inline style attribute|<p style="margin: 0; font-size: 13px; color: #6b7280;">
app/views/admin/legal_documents/acceptance_tracking.html.erb|inline style attribute|<p style="margin: 10px 0 5px 0; font-weight: 500;">
app/views/admin/legal_documents/acceptance_tracking.html.erb|inline style attribute|<p style="margin: 5px 0;">Lenders: <%= @acceptances.where.not(lender_id: nil).count %></p>
app/views/admin/legal_documents/acceptance_tracking.html.erb|inline style attribute|<p style="margin: 5px 0;">Users: <%= @acceptances.where.not(user_id: nil).count %></p>
app/views/admin/legal_documents/acceptance_tracking.html.erb|inline style attribute|<p style="padding: 20px; text-align: center; color: #6b7280;">No acceptances found.</p>
app/views/admin/legal_documents/compliance_dashboard.html.erb|<style> block|<style>
app/views/admin/legal_documents/compliance_dashboard.html.erb|inline style attribute|<div class="card" style="margin-bottom: 20px;">
app/views/admin/legal_documents/compliance_dashboard.html.erb|inline style attribute|<div style="margin-top: 20px; font-size: 12px; color: #6b7280;">
app/views/admin/legal_documents/compliance_dashboard.html.erb|inline style attribute|<div style="margin-top: 30px; text-align: right;">
app/views/admin/legal_documents/compliance_dashboard.html.erb|inline style attribute|<div style="margin-top: 30px;">
app/views/admin/legal_documents/compliance_dashboard.html.erb|inline style attribute|<h3 style="margin-top: 0; color: #1f2937;">🇦🇺 Australia (ASIC)</h3>
app/views/admin/legal_documents/compliance_dashboard.html.erb|inline style attribute|<h3 style="margin-top: 0; color: #1f2937;">🇬🇧 United Kingdom (UK GDPR/DPA 2018)</h3>
app/views/admin/legal_documents/compliance_dashboard.html.erb|inline style attribute|<h3 style="margin-top: 0; color: #1f2937;">🇳🇿 New Zealand (Privacy Act 2020)</h3>
app/views/admin/legal_documents/compliance_dashboard.html.erb|inline style attribute|<h3 style="margin-top: 0; color: #1f2937;">🇺🇸 United States (CCPA/TILA)</h3>
app/views/admin/legal_documents/compliance_dashboard.html.erb|inline style attribute|<span style="display: inline-block; margin-right: 20px;">
app/views/admin/legal_documents/compliance_dashboard.html.erb|inline style attribute|<span style="display: inline-block;">
app/views/admin/legal_documents/compliance_dashboard.html.erb|inline style attribute|<th style="width: 100px;">Score</th>
app/views/admin/legal_documents/compliance_dashboard.html.erb|inline style attribute|<th style="width: 120px;">Jurisdiction</th>
app/views/admin/legal_documents/templates.html.erb|<style> block|<style>
app/views/admin/legal_documents/templates.html.erb|inline style attribute|<a href="<%= admin_legal_documents_templates_path(id: template.id, action: 'preview') %>" class="btn-secondary" style="d
app/views/admin/legal_documents/templates.html.erb|inline style attribute|<button type="submit" class="btn-primary" style="padding: 10px 20px;">Filter</button>
app/views/admin/legal_documents/templates.html.erb|inline style attribute|<code style="background: #f3f4f6; padding: 2px 6px; border-radius: 3px;">
app/views/admin/legal_documents/templates.html.erb|inline style attribute|<div class="card" style="margin-bottom: 20px;">
app/views/admin/legal_documents/templates.html.erb|inline style attribute|<div style="display: flex; flex-direction: column;">
app/views/admin/legal_documents/templates.html.erb|inline style attribute|<div style="margin-top: 30px;">
app/views/admin/legal_documents/templates.html.erb|inline style attribute|<form method="get" style="display: grid; grid-template-columns: 1fr auto; gap: 15px; align-items: flex-end;">
app/views/admin/legal_documents/templates.html.erb|inline style attribute|<ol style="line-height: 1.8;">
app/views/admin/legal_documents/templates.html.erb|inline style attribute|<p style="padding: 20px; text-align: center; color: #6b7280;">No templates found.</p>
app/views/admin/legal_documents/templates.html.erb|inline style attribute|<span class="badge" style="background: #dcfce7; color: #166534;">✓ Active</span>
app/views/admin/legal_documents/templates.html.erb|inline style attribute|<span class="badge" style="background: #f3f4f6; color: #6b7280;">Inactive</span>
app/views/admin/legal_documents/templates.html.erb|inline style attribute|<td style="font-size: 12px; color: #6b7280;">
app/views/admin/legal_documents/templates.html.erb|inline style attribute|<td style="font-size: 13px;">
app/views/admin/legal_documents/templates.html.erb|inline style attribute|<td><span class="badge" style="background: #dbeafe; color: #1e40af;"><%= template.jurisdiction_name %></span></td>
app/views/admin/lender_funder_pools/new.html.erb|<style> block|<style>
app/views/admin/lenders/_form.html.erb|<style> block|<style>
app/views/admin/lenders/index.html.erb|inline style attribute|<div style="display: flex; justify-content: space-between; align-items: center; margin-bottom: 1.5rem;">
app/views/admin/lenders/index.html.erb|inline style attribute|<h2 style="margin: 0 0 0.5rem 0;">Lenders Management</h2>
app/views/admin/lenders/index.html.erb|inline style attribute|<p class="form-help-text" style="margin: 0;">Manage equity partners, funding allocations, and applications</p>
app/views/admin/mortgages/edit.html.erb|inline style attribute|<div class="actions" style="display: flex; gap: 12px; margin-top: 32px;">
app/views/admin/mortgages/index.html.erb|<style> block|<style>
app/views/admin/mortgages/index.html.erb|inline style attribute|<div style="padding: 40px; text-align: center; color: #6b7280;">
app/views/admin/mortgages/new.html.erb|inline style attribute|<div class="actions" style="display: flex; gap: 12px; margin-top: 32px;">
app/views/admin/mortgages/show.html.erb|<style> block|<style>
app/views/admin/mortgages/show.html.erb|inline style attribute|<div id="existing-lenders" data-mortgage-lender-selector-target="existingLenders" style="display: none;">
app/views/admin/mortgages/show.html.erb|inline style attribute|<div id="lender-selection" data-mortgage-lender-selector-target="selectionInterface" style="display: none;">
app/views/admin/mortgages/show.html.erb|inline style attribute|<div style="margin-top: 32px;">
app/views/admin/privacy_policies/index.html.erb|<style> block|<style>
app/views/admin/terms_and_conditions/_section_form.html.erb|inline style attribute|<div class="contact-fields" style="<%= 'display: none;' if section_type != 'contact' %>">
app/views/admin/terms_and_conditions/_section_form.html.erb|inline style attribute|<div class="standard-fields" style="<%= 'display: none;' if section_type == 'contact' %>">
app/views/admin/terms_and_conditions/index.html.erb|<style> block|<style>
app/views/admin/terms_of_uses/_section_form.html.erb|inline style attribute|<div class="contact-fields" style="<%= 'display: none;' if section_type != 'contact' %>">
app/views/admin/terms_of_uses/_section_form.html.erb|inline style attribute|<div class="standard-fields" style="<%= 'display: none;' if section_type == 'contact' %>">
app/views/admin/terms_of_uses/index.html.erb|<style> block|<style>
app/views/admin/terms_of_uses/show.html.erb|<style> block|<style>
app/views/admin/terms_of_uses/show.html.erb|inline style attribute|<div class="admin-content-section" style="margin-top: 40px;">
app/views/admin/terms_of_uses/show.html.erb|inline style attribute|<div style="margin-top: 16px;"></div>
app/views/admin/terms_of_uses/show.html.erb|inline style attribute|<div style="margin-top: 8px;"></div>
app/views/admin/terms_of_uses/show.html.erb|inline style attribute|<h2 style="color: var(--primary-color); font-size: 24px; font-weight: 700; margin: 0 0 16px 0; padding-bottom: 8px; bord
app/views/admin/users/edit.html.erb|inline style attribute|<div class="actions" style="display: flex; gap: 12px; margin-top: 32px;">
app/views/admin/users/edit.html.erb|inline style attribute|<small style="color: #6b7280; font-size: 14px; margin-left: 8px;">You cannot change your own admin status</small>
app/views/admin/users/edit.html.erb|inline style attribute|<small style="color: #6b7280; font-size: 14px;">Leave blank to keep current password</small>
app/views/admin/users/index.html.erb|<style> block|<style>
app/views/admin/users/index.html.erb|inline style attribute|<div style="padding: 40px; text-align: center; color: #6b7280;">
app/views/admin/users/index.html.erb|inline style attribute|<td style="text-align: center;">
app/views/admin/users/index.html.erb|inline style attribute|<th style="text-align: center;">Terms Version</th>
app/views/admin/users/new.html.erb|inline style attribute|<div class="actions" style="display: flex; gap: 12px; margin-top: 32px;">
app/views/admin/users/show.html.erb|<style> block|<style>
app/views/admin/wholesale_funder_contracts/_form.html.erb|inline <script>|<script>
app/views/admin/wholesale_funder_contracts/_form.html.erb|inline event handler|onclick="switchEditor('html')">HTML</button>
app/views/admin/wholesale_funder_contracts/_form.html.erb|inline event handler|onclick="switchEditor('visual')">Visual</button>
app/views/admin/wholesale_funder_contracts/index.html.erb|inline style attribute|<div style="margin-bottom: 16px; margin-top: 16px;">
app/views/admin/wholesale_funder_contracts/index.html.erb|inline style attribute|<div style="margin-bottom: 24px; display: flex; justify-content: flex-end;">
app/views/admin/wholesale_funder_contracts/index.html.erb|inline style attribute|<p style="margin: 0;">No contracts found. <%= link_to "Add one", new_admin_wholesale_funder_contract_path(@wholesale_fun
app/views/admin/wholesale_funder_contracts/index.html.erb|inline style attribute|<span class="admin-badge admin-badge-secondary" style="background: #3b82f6;">
app/views/admin/wholesale_funder_contracts/index.html.erb|inline style attribute|<td colspan="5" style="text-align: center; padding: 32px; color: #6b7280;">
app/views/admin/wholesale_funder_contracts/index.html.erb|inline style attribute|<td style="display: flex; gap: 8px;">
app/views/admin/wholesale_funders/_results.html.erb|inline style attribute|<div class="mini-allocation-progress" style="width: <%= wholesale_funder.capital_allocation_percentage %>%;"></div>
app/views/admin/wholesale_funders/edit.html.erb|inline style attribute|<div style="max-width: 600px;">
app/views/admin/wholesale_funders/index.html.erb|inline style attribute|<div class="admin-progress-fill-small" style="width: <%= funder.utilization_percentage %>%"></div>
app/views/admin/wholesale_funders/index.html.erb|inline style attribute|<div style="display: flex; justify-content: space-between; align-items: center; margin-bottom: 1.5rem;">
app/views/admin/wholesale_funders/index.html.erb|inline style attribute|<h2 style="margin: 0 0 0.5rem 0;">Wholesale Funders Management</h2>
app/views/admin/wholesale_funders/index.html.erb|inline style attribute|<p class="form-help-text" style="margin: 0;">Global funding allocation and contract management across all jurisdictions<
app/views/admin/wholesale_funders/new.html.erb|inline style attribute|<div style="max-width: 600px;">
app/views/admin/wholesale_funders/show.html.erb|<style> block|<style>
app/views/admin/wholesale_funders/show.html.erb|inline style attribute|<div class="allocation-progress" style="width: <%= @wholesale_funder.capital_allocation_percentage %>%"></div>
app/views/admin/wholesale_funders/show.html.erb|inline style attribute|<div class="mini-allocation-progress" style="width: <%= pool.allocation_percentage %>%"></div>
app/views/admin/workflow_forms/_trigger_card.html.erb|<style> block|<style>
app/views/admin/workflow_forms/edit_trigger.html.erb|<style> block|<style>
app/views/admin/workflow_forms/index.html.erb|inline style attribute|<div style="padding: 40px; text-align: center; color: #6b7280;">
app/views/admin/workflow_forms/index.html.erb|inline style attribute|<small style="color: #6b7280;">
app/views/admin/workflow_forms/index.html.erb|inline style attribute|<small style="color: #6b7280;"><%= truncate(workflow.description, length: 60) %></small>
app/views/admin/workflow_forms/index.html.erb|inline style attribute|<span style="color: #9ca3af;">No triggers</span>
app/views/admin/workflow_forms/new_trigger.html.erb|<style> block|<style>
app/views/admin/workflow_forms/new_trigger.html.erb|inline style attribute|<button type="button" class="admin-btn admin-btn-sm admin-btn-danger remove-step" style="display: none;">Remove</button>
app/views/admin/workflow_forms/new_trigger.html.erb|inline style attribute|<div class="step-fields delay-fields" data-step-type="delay" style="display: none;">
app/views/admin/workflow_forms/new_trigger.html.erb|inline style attribute|<div class="step-fields update-user-fields" data-step-type="update_user" style="display: none;">
app/views/admin/workflow_forms/new_trigger.html.erb|inline style attribute|<div class="step-fields webhook-fields" data-step-type="webhook" style="display: none;">
app/views/admin/workflow_forms/show.html.erb|<style> block|<style>
app/views/admin_mailer/daily_attention_digest.html.erb|inline style attribute|<h2 style="font-family: Georgia, serif; color: #1e293b;">Good morning — here's what needs attention</h2>
app/views/admin_mailer/daily_attention_digest.html.erb|inline style attribute|<h3 style="color: #1e293b;">Recommendations</h3>
app/views/admin_mailer/daily_attention_digest.html.erb|inline style attribute|<li style="margin-bottom: 8px;">
app/views/admin_mailer/daily_attention_digest.html.erb|inline style attribute|<p style="color: #64748b; font-size: 13px;">Full detail on the <a href="https://www.futureprooffinancial.co/admin/dashbo
app/views/admin_mailer/daily_attention_digest.html.erb|inline style attribute|<table style="border-collapse: collapse; margin: 16px 0;">
app/views/admin_mailer/daily_attention_digest.html.erb|inline style attribute|<td style="padding: 6px 0; font-weight: bold;"><%= @counts[:applications_awaiting] %></td>
app/views/admin_mailer/daily_attention_digest.html.erb|inline style attribute|<td style="padding: 6px 0; font-weight: bold;"><%= @counts[:open_change_requests] %></td>
app/views/admin_mailer/daily_attention_digest.html.erb|inline style attribute|<td style="padding: 6px 0; font-weight: bold;"><%= @counts[:open_tickets] %></td>
app/views/admin_mailer/daily_attention_digest.html.erb|inline style attribute|<td style="padding: 6px 16px 6px 0; color: #475569;">Applications awaiting decision</td>
app/views/admin_mailer/daily_attention_digest.html.erb|inline style attribute|<td style="padding: 6px 16px 6px 0; color: #475569;">Open change requests</td>
app/views/admin_mailer/daily_attention_digest.html.erb|inline style attribute|<td style="padding: 6px 16px 6px 0; color: #475569;">Open support tickets</td>
app/views/application_mailer/message_notification.html.erb|inline style attribute|<div style="background-color: #e3f2fd; border-radius: 8px; padding: 20px; max-width: 300px; margin: 0 auto;">
app/views/application_mailer/message_notification.html.erb|inline style attribute|<div style="background: #ffffff; border-radius: 12px; border: 1px solid #e5e7eb; box-shadow: 0 2px 8px rgba(0, 0, 0, 0.0
app/views/application_mailer/message_notification.html.erb|inline style attribute|<div style="background: linear-gradient(135deg, #f8fafc 0%, #f1f5f9 100%); padding: 24px 32px; border-bottom: 1px solid 
app/views/application_mailer/message_notification.html.erb|inline style attribute|<div style="margin-bottom: 32px;">
app/views/application_mailer/message_notification.html.erb|inline style attribute|<div style="padding: 32px; color: #374151; line-height: 1.7; font-size: 16px;">
app/views/application_mailer/message_notification.html.erb|inline style attribute|<div style="text-align: center; margin-bottom: 32px;">
app/views/application_mailer/message_notification.html.erb|inline style attribute|<div style="text-align: center; margin: 32px 0;">
app/views/application_mailer/message_notification.html.erb|inline style attribute|<div style="width: 64px; height: 64px; border-radius: 50%; background: linear-gradient(135deg, #3b82f6, #1d4ed8); displa
app/views/application_mailer/message_notification.html.erb|inline style attribute|<h1 style="margin: 0 0 4px 0; color: #374151; font-size: 24px; font-weight: 600;">
app/views/application_mailer/message_notification.html.erb|inline style attribute|<h1 style="margin: 0; color: #374151; font-size: 24px; font-weight: 600;">📧 New Message from Futureproof</h1>
app/views/application_mailer/message_notification.html.erb|inline style attribute|<h2 style="margin: 0; color: #1e293b; font-size: 20px; font-weight: 600;">
app/views/application_mailer/message_notification.html.erb|inline style attribute|<h3 style="color: #0891b2; margin: 0 0 12px 0; font-size: 16px;">Need Help?</h3>
app/views/application_mailer/message_notification.html.erb|inline style attribute|<p style="margin: 0 0 16px 0; color: #374151; font-size: 16px;">Dear <%= @user.first_name %>,</p>
app/views/application_mailer/message_notification.html.erb|inline style attribute|<p style="margin: 0 0 16px 0; color: #6b7280; font-size: 15px; line-height: 1.6;">
app/views/application_mailer/message_notification.html.erb|inline style attribute|<p style="margin: 0 0 8px 0; color: #374151; font-size: 14px;">Questions about your application?</p>
app/views/application_mailer/message_notification.html.erb|inline style attribute|<p style="margin: 0 0 8px 0; color: #3b82f6; font-size: 16px; font-weight: 500;">
app/views/application_mailer/message_notification.html.erb|inline style attribute|<p style="margin: 0; color: #374151; font-size: 14px;">
app/views/application_mailer/message_notification.html.erb|inline style attribute|<p style="margin: 0; color: #6b7280; font-size: 14px;">
app/views/application_mailer/message_notification.html.erb|inline style attribute|<table role="presentation" style="margin: 0 auto; border-collapse: collapse;">
app/views/application_mailer/message_notification.html.erb|inline style attribute|<table role="presentation" style="margin: 0 auto;">
app/views/application_mailer/message_notification.html.erb|inline style attribute|<table role="presentation" style="width: 100%; border-collapse: collapse; border: 0; border-spacing: 0; margin: 32px 0;"
app/views/application_mailer/message_notification.html.erb|inline style attribute|<td style="padding: 0;">
app/views/application_mailer/message_notification.html.erb|inline style attribute|<td style="text-align: center; vertical-align: top; padding-right: 16px;">
app/views/application_mailer/message_notification.html.erb|inline style attribute|<td style="text-align: left; vertical-align: top;">
app/views/application_mailer/message_notification.html.erb|inline style attribute|style="background-color: #0891b2; color: white; text-decoration: none; padding: 12px 24px; border-radius: 6px; font-weig
app/views/application_mailer/message_notification.html.erb|inline style attribute|style="width: 64px; height: 64px; border-radius: 50%; object-fit: cover; border: 3px solid #3b82f6;" />
app/views/applications/demo_spa.html.erb|inline style attribute|<div class="demo-spa-nav-buttons" style="margin-top: 32px;">
app/views/applications/edit.html.erb|inline style attribute|<button type="button" id="add-borrower" class="btn btn-secondary btn-sm" style="margin-top: 10px;">Add Another Borrower<
app/views/applications/edit.html.erb|inline style attribute|style="display: <%= @application.has_existing_mortgage? ? 'block' : 'none' %>;">
app/views/applications/edit.html.erb|inline style attribute|style="display: <%= @application.ownership_status_individual? ? 'block' : 'none' %>;">
