,,,,,,,,,,,,,,,,,,,
,Closing,FORMULA: =SUM(C28:C31),FORMULA: =SUM(D28:D31),FORMULA: =SUM(E28:E31),FORMULA: =SUM(F28:F31),FORMULA: =SUM(G28:G31),FORMULA: =SUM(H28:H31),FORMULA: =SUM(I28:I31),FORMULA: =SUM(J28:J31),FORMULA: =SUM(K28:K31),FORMULA: =SUM(L28:L31),FORMULA: =SUM(M28:M31),FORMULA: =SUM(N28:N31),FORMULA: =SUM(O28:O31),FORMULA: =SUM(P28:P31),FORMULA: =SUM(Q28:Q31),FORMULA: =SUM(R28:R31),FORMULA: =SUM(S28:S31),FORMULA: =SUM(T28:T31)
,,,,,,,,,,,,,,,,,,,
,Customer loan account,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Opening,0,FORMULA: =C39,FORMULA: =D39,FORMULA: =E39,FORMULA: =F39,FORMULA: =G39,FORMULA: =H39,FORMULA: =I39,FORMULA: =J39,FORMULA: =K39,FORMULA: =L39,FORMULA: =M39,FORMULA: =N39,FORMULA: =O39,FORMULA: =P39,FORMULA: =Q39,FORMULA: =R39,FORMULA: =S39
,Annuity Paid,,FORMULA: =$D$18*(D24<=$D$19),FORMULA: =$D$18*(E24<=$D$19),FORMULA: =$D$18*(F24<=$D$19),FORMULA: =$D$18*(G24<=$D$19),FORMULA: =$D$18*(H24<=$D$19),FORMULA: =$D$18*(I24<=$D$19),FORMULA: =$D$18*(J24<=$D$19),FORMULA: =$D$18*(K24<=$D$19),FORMULA: =$D$18*(L24<=$D$19),FORMULA: =$D$18*(M24<=$D$19),FORMULA: =$D$18*(N24<=$D$19),FORMULA: =$D$18*(O24<=$D$19),FORMULA: =$D$18*(P24<=$D$19),FORMULA: =$D$18*(Q24<=$D$19),FORMULA: =$D$18*(R24<=$D$19),FORMULA: =$D$18*(S24<=$D$19),FORMULA: =$D$18*(T24<=$D$19)
,Repayment,FORMULA: =(C24=$D$17)*-SUM(C36:C37),FORMULA: =(D24=$D$17)*-SUM(D36:D37),FORMULA: =(E24=$D$17)*-SUM(E36:E37),FORMULA: =(F24=$D$17)*-SUM(F36:F37),FORMULA: =(G24=$D$17)*-SUM(G36:G37),FORMULA: =(H24=$D$17)*-SUM(H36:H37),FORMULA: =(I24=$D$17)*-SUM(I36:I37),FORMULA: =(J24=$D$17)*-SUM(J36:J37),FORMULA: =(K24=$D$17)*-SUM(K36:K37),FORMULA: =(L24=$D$17)*-SUM(L36:L37),FORMULA: =(M24=$D$17)*-SUM(M36:M37),FORMULA: =(N24=$D$17)*-SUM(N36:N37),FORMULA: =(O24=$D$17)*-SUM(O36:O37),FORMULA: =(P24=$D$17)*-SUM(P36:P37),FORMULA: =(Q24=$D$17)*-SUM(Q36:Q37),FORMULA: =(R24=$D$17)*-SUM(R36:R37),FORMULA: =(S24=$D$17)*-SUM(S36:S37),FORMULA: =(T24=$D$17)*-SUM(T36:T37)
,Closing,FORMULA: =SUM(C36:C38),FORMULA: =SUM(D36:D38),FORMULA: =SUM(E36:E38),FORMULA: =SUM(F36:F38),FORMULA: =SUM(G36:G38),FORMULA: =SUM(H36:H38),FORMULA: =SUM(I36:I38),FORMULA: =SUM(J36:J38),FORMULA: =SUM(K36:K38),FORMULA: =SUM(L36:L38),FORMULA: =SUM(M36:M38),FORMULA: =SUM(N36:N38),FORMULA: =SUM(O36:O38),FORMULA: =SUM(P36:P38),FORMULA: =SUM(Q36:Q38),FORMULA: =SUM(R36:R38),FORMULA: =SUM(S36:S38),FORMULA: =SUM(T36:T38)
,,,,,,,,,,,,,,,,,,,
,Time Series Assumptions,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Investment Fund Return,,,,,,,,,,,,,,,,,,
,Fixed,FORMULA: =$L$21,FORMULA: =$L$21,FORMULA: =$L$21,FORMULA: =$L$21,FORMULA: =$L$21,FORMULA: =$L$21,FORMULA: =$L$21,FORMULA: =$L$21,FORMULA: =$L$21,FORMULA: =$L$21,FORMULA: =$L$21,FORMULA: =$L$21,FORMULA: =$L$21,FORMULA: =$L$21,FORMULA: =$L$21,FORMULA: =$L$21,FORMULA: =$L$21,FORMULA: =$L$21
,HardCode,0.1,0.1,-0.15,-0.15,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
,Stochastic,FORMULA: =EXP($L$21 + $N$21*NORMSINV(RAND())) - 1,FORMULA: =EXP($L$21 + $N$21*NORMSINV(RAND())) - 1,FORMULA: =EXP($L$21 + $N$21*NORMSINV(RAND())) - 1,FORMULA: =EXP($L$21 + $N$21*NORMSINV(RAND())) - 1,FORMULA: =EXP($L$21 + $N$21*NORMSINV(RAND())) - 1,FORMULA: =EXP($L$21 + $N$21*NORMSINV(RAND())) - 1,FORMULA: =EXP($L$21 + $N$21*NORMSINV(RAND())) - 1,FORMULA: =EXP($L$21 + $N$21*NORMSINV(RAND())) - 1,FORMULA: =EXP($L$21 + $N$21*NORMSINV(RAND())) - 1,FORMULA: =EXP($L$21 + $N$21*NORMSINV(RAND())) - 1,FORMULA: =EXP($L$21 + $N$21*NORMSINV(RAND())) - 1,FORMULA: =EXP($L$21 + $N$21*NORMSINV(RAND())) - 1,FORMULA: =EXP($L$21 + $N$21*NORMSINV(RAND())) - 1,FORMULA: =EXP($L$21 + $N$21*NORMSINV(RAND())) - 1,FORMULA: =EXP($L$21 + $N$21*NORMSINV(RAND())) - 1,FORMULA: =EXP($L$21 + $N$21*NORMSINV(RAND())) - 1,FORMULA: =EXP($L$21 + $N$21*NORMSINV(RAND())) - 1,FORMULA: =EXP($L$21 + $N$21*NORMSINV(RAND())) - 1
,Brownian,FORMULA: =Brownian!D15,FORMULA: =Brownian!E15,FORMULA: =Brownian!F15,FORMULA: =Brownian!G15,FORMULA: =Brownian!H15,FORMULA: =Brownian!I15,FORMULA: =Brownian!J15,FORMULA: =Brownian!K15,FORMULA: =Brownian!L15,FORMULA: =Brownian!M15,FORMULA: =Brownian!N15,FORMULA: =Brownian!O15,FORMULA: =Brownian!P15,FORMULA: =Brownian!Q15,FORMULA: =Brownian!R15,FORMULA: =Brownian!S15,FORMULA: =Brownian!T15,FORMULA: =Brownian!U15
,Investment fund return - Live,"FORMULA: =CHOOSE($K$19,C44,C45,C46,C47)","FORMULA: =CHOOSE($K$19,D44,D45,D46,D47)","FORMULA: =CHOOSE($K$19,E44,E45,E46,E47)","FORMULA: =CHOOSE($K$19,F44,F45,F46,F47)","FORMULA: =CHOOSE($K$19,G44,G45,G46,G47)","FORMULA: =CHOOSE($K$19,H44,H45,H46,H47)","FORMULA: =CHOOSE($K$19,I44,I45,I46,I47)","FORMULA: =CHOOSE($K$19,J44,J45,J46,J47)","FORMULA: =CHOOSE($K$19,K44,K45,K46,K47)","FORMULA: =CHOOSE($K$19,L44,L45,L46,L47)","FORMULA: =CHOOSE($K$19,M44,M45,M46,M47)","FORMULA: =CHOOSE($K$19,N44,N45,N46,N47)","FORMULA: =CHOOSE($K$19,O44,O45,O46,O47)","FORMULA: =CHOOSE($K$19,P44,P45,P46,P47)","FORMULA: =CHOOSE($K$19,Q44,Q45,Q46,Q47)","FORMULA: =CHOOSE($K$19,R44,R45,R46,R47)","FORMULA: =CHOOSE($K$19,S44,S45,S46,S47)","FORMULA: =CHOOSE($K$19,T44,T45,T46,T47)"
,Investment fund return - With Hedging,"FORMULA: =MIN(MAX($X$21-1,C48),$X$20-1)","FORMULA: =MIN(MAX($X$21-1,D48),$X$20-1)","FORMULA: =MIN(MAX($X$21-1,E48),$X$20-1)","FORMULA: =MIN(MAX($X$21-1,F48),$X$20-1)","FORMULA: =MIN(MAX($X$21-1,G48),$X$20-1)","FORMULA: =MIN(MAX($X$21-1,H48),$X$20-1)","FORMULA: =MIN(MAX($X$21-1,I48),$X$20-1)","FORMULA: =MIN(MAX($X$21-1,J48),$X$20-1)","FORMULA: =MIN(MAX($X$21-1,K48),$X$20-1)","FORMULA: =MIN(MAX($X$21-1,L48),$X$20-1)","FORMULA: =MIN(MAX($X$21-1,M48),$X$20-1)","FORMULA: =MIN(MAX($X$21-1,N48),$X$20-1)","FORMULA: =MIN(MAX($X$21-1,O48),$X$20-1)","FORMULA: =MIN(MAX($X$21-1,P48),$X$20-1)","FORMULA: =MIN(MAX($X$21-1,Q48),$X$20-1)","FORMULA: =MIN(MAX($X$21-1,R48),$X$20-1)","FORMULA: =MIN(MAX($X$21-1,S48),$X$20-1)","FORMULA: =MIN(MAX($X$21-1,T48),$X$20-1)"
,,,,,,,,,,,,,,,,,,,
,Cumulatative return - Fixed,1,FORMULA: =C51*(1+D44),FORMULA: =D51*(1+E44),FORMULA: =E51*(1+F44),FORMULA: =F51*(1+G44),FORMULA: =G51*(1+H44),FORMULA: =H51*(1+I44),FORMULA: =I51*(1+J44),FORMULA: =J51*(1+K44),FORMULA: =K51*(1+L44),FORMULA: =L51*(1+M44),FORMULA: =M51*(1+N44),FORMULA: =N51*(1+O44),FORMULA: =O51*(1+P44),FORMULA: =P51*(1+Q44),FORMULA: =Q51*(1+R44),FORMULA: =R51*(1+S44),FORMULA: =S51*(1+T44)
,Cumulatative return - hardcode,1,FORMULA: =C52*(1+D45),FORMULA: =D52*(1+E45),FORMULA: =E52*(1+F45),FORMULA: =F52*(1+G45),FORMULA: =G52*(1+H45),FORMULA: =H52*(1+I45),FORMULA: =I52*(1+J45),FORMULA: =J52*(1+K45),FORMULA: =K52*(1+L45),FORMULA: =L52*(1+M45),FORMULA: =M52*(1+N45),FORMULA: =N52*(1+O45),FORMULA: =O52*(1+P45),FORMULA: =P52*(1+Q45),FORMULA: =Q52*(1+R45),FORMULA: =R52*(1+S45),FORMULA: =S52*(1+T45)
,Cumulatative return - stochastic,1,FORMULA: =C53*(1+D46),FORMULA: =D53*(1+E46),FORMULA: =E53*(1+F46),FORMULA: =F53*(1+G46),FORMULA: =G53*(1+H46),FORMULA: =H53*(1+I46),FORMULA: =I53*(1+J46),FORMULA: =J53*(1+K46),FORMULA: =K53*(1+L46),FORMULA: =L53*(1+M46),FORMULA: =M53*(1+N46),FORMULA: =N53*(1+O46),FORMULA: =O53*(1+P46),FORMULA: =P53*(1+Q46),FORMULA: =Q53*(1+R46),FORMULA: =R53*(1+S46),FORMULA: =S53*(1+T46)
,Cumulatative return - brownian,1,FORMULA: =C54*(1+D47),FORMULA: =D54*(1+E47),FORMULA: =E54*(1+F47),FORMULA: =F54*(1+G47),FORMULA: =G54*(1+H47),FORMULA: =H54*(1+I47),FORMULA: =I54*(1+J47),FORMULA: =J54*(1+K47),FORMULA: =K54*(1+L47),FORMULA: =L54*(1+M47),FORMULA: =M54*(1+N47),FORMULA: =N54*(1+O47),FORMULA: =O54*(1+P47),FORMULA: =P54*(1+Q47),FORMULA: =Q54*(1+R47),FORMULA: =R54*(1+S47),FORMULA: =S54*(1+T47)
,Cumulatative return - live,1,FORMULA: =C55*(1+D48),FORMULA: =D55*(1+E48),FORMULA: =E55*(1+F48),FORMULA: =F55*(1+G48),FORMULA: =G55*(1+H48),FORMULA: =H55*(1+I48),FORMULA: =I55*(1+J48),FORMULA: =J55*(1+K48),FORMULA: =K55*(1+L48),FORMULA: =L55*(1+M48),FORMULA: =M55*(1+N48),FORMULA: =N55*(1+O48),FORMULA: =O55*(1+P48),FORMULA: =P55*(1+Q48),FORMULA: =Q55*(1+R48),FORMULA: =R55*(1+S48),FORMULA: =S55*(1+T48)
,Cumulatative return - live with hedge,1,FORMULA: =C56*(1+D49),FORMULA: =D56*(1+E49),FORMULA: =E56*(1+F49),FORMULA: =F56*(1+G49),FORMULA: =G56*(1+H49),FORMULA: =H56*(1+I49),FORMULA: =I56*(1+J49),FORMULA: =J56*(1+K49),FORMULA: =K56*(1+L49),FORMULA: =L56*(1+M49),FORMULA: =M56*(1+N49),FORMULA: =N56*(1+O49),FORMULA: =O56*(1+P49),FORMULA: =P56*(1+Q49),FORMULA: =Q56*(1+R49),FORMULA: =R56*(1+S49),FORMULA: =S56*(1+T49)
,,,,,,,,,,,,,,,,,,,
,Cash rate - fixed,FORMULA: =L10,FORMULA: =C58,FORMULA: =D58,FORMULA: =E58,FORMULA: =F58,FORMULA: =G58,FORMULA: =H58,FORMULA: =I58,FORMULA: =J58,FORMULA: =K58,FORMULA: =L58,FORMULA: =M58,FORMULA: =N58,FORMULA: =O58,FORMULA: =P58,FORMULA: =Q58,FORMULA: =R58,FORMULA: =S58
,Cash rate - stochastic,FORMULA: =C58,FORMULA: =MAX(C59*EXP(-0.8*1)+$M$10*(1-EXP(-0.8*1))+0.015*S,FORMULA: =MAX(D59*EXP(-0.8*1)+$M$10*(1-EXP(-0.8*1))+0.015*S,FORMULA: =MAX(E59*EXP(-0.8*1)+$M$10*(1-EXP(-0.8*1))+0.015*S,FORMULA: =MAX(F59*EXP(-0.8*1)+$M$10*(1-EXP(-0.8*1))+0.015*S,FORMULA: =MAX(G59*EXP(-0.8*1)+$M$10*(1-EXP(-0.8*1))+0.015*S,FORMULA: =MAX(H59*EXP(-0.8*1)+$M$10*(1-EXP(-0.8*1))+0.015*S,FORMULA: =MAX(I59*EXP(-0.8*1)+$M$10*(1-EXP(-0.8*1))+0.015*S,FORMULA: =MAX(J59*EXP(-0.8*1)+$M$10*(1-EXP(-0.8*1))+0.015*S,FORMULA: =MAX(K59*EXP(-0.8*1)+$M$10*(1-EXP(-0.8*1))+0.015*S,FORMULA: =MAX(L59*EXP(-0.8*1)+$M$10*(1-EXP(-0.8*1))+0.015*S,FORMULA: =MAX(M59*EXP(-0.8*1)+$M$10*(1-EXP(-0.8*1))+0.015*S,FORMULA: =MAX(N59*EXP(-0.8*1)+$M$10*(1-EXP(-0.8*1))+0.015*S,FORMULA: =MAX(O59*EXP(-0.8*1)+$M$10*(1-EXP(-0.8*1))+0.015*S,FORMULA: =MAX(P59*EXP(-0.8*1)+$M$10*(1-EXP(-0.8*1))+0.015*S,FORMULA: =MAX(Q59*EXP(-0.8*1)+$M$10*(1-EXP(-0.8*1))+0.015*S,FORMULA: =MAX(R59*EXP(-0.8*1)+$M$10*(1-EXP(-0.8*1))+0.015*S,FORMULA: =MAX(S59*EXP(-0.8*1)+$M$10*(1-EXP(-0.8*1))+0.015*S
,Cash Rate - live,"FORMULA: =CHOOSE($K$8,C58,C59)","FORMULA: =CHOOSE($K$8,D58,D59)","FORMULA: =CHOOSE($K$8,E58,E59)","FORMULA: =CHOOSE($K$8,F58,F59)","FORMULA: =CHOOSE($K$8,G58,G59)","FORMULA: =CHOOSE($K$8,H58,H59)","FORMULA: =CHOOSE($K$8,I58,I59)","FORMULA: =CHOOSE($K$8,J58,J59)","FORMULA: =CHOOSE($K$8,K58,K59)","FORMULA: =CHOOSE($K$8,L58,L59)","FORMULA: =CHOOSE($K$8,M58,M59)","FORMULA: =CHOOSE($K$8,N58,N59)","FORMULA: =CHOOSE($K$8,O58,O59)","FORMULA: =CHOOSE($K$8,P58,P59)","FORMULA: =CHOOSE($K$8,Q58,Q59)","FORMULA: =CHOOSE($K$8,R58,R59)","FORMULA: =CHOOSE($K$8,S58,S59)","FORMULA: =CHOOSE($K$8,T58,T59)"
,,,,,,,,,,,,,,,,,,,
,Wholesale Margin,FORMULA: =K12,FORMULA: =C62,FORMULA: =D62,FORMULA: =E62,FORMULA: =F62,FORMULA: =G62,FORMULA: =H62,FORMULA: =I62,FORMULA: =J62,FORMULA: =K62,FORMULA: =L62,FORMULA: =M62,FORMULA: =N62,FORMULA: =O62,FORMULA: =P62,FORMULA: =Q62,FORMULA: =R62,FORMULA: =S62
,Funder funding costs,FORMULA: =C62+C60,FORMULA: =D62+D60,FORMULA: =E62+E60,FORMULA: =F62+F60,FORMULA: =G62+G60,FORMULA: =H62+H60,FORMULA: =I62+I60,FORMULA: =J62+J60,FORMULA: =K62+K60,FORMULA: =L62+L60,FORMULA: =M62+M60,FORMULA: =N62+N60,FORMULA: =O62+O60,FORMULA: =P62+P60,FORMULA: =Q62+Q60,FORMULA: =R62+R60,FORMULA: =S62+S60,FORMULA: =T62+T60
,,,,,,,,,,,,,,,,,,,
,Retail NIM,FORMULA: =K13,FORMULA: =C65,FORMULA: =D65,FORMULA: =E65,FORMULA: =F65,FORMULA: =G65,FORMULA: =H65,FORMULA: =I65,FORMULA: =J65,FORMULA: =K65,FORMULA: =L65,FORMULA: =M65,FORMULA: =N65,FORMULA: =O65,FORMULA: =P65,FORMULA: =Q65,FORMULA: =R65,FORMULA: =S65
,,,,,,,,,,,,,,,,,,,
,FP Margin,FORMULA: =K15,FORMULA: =C67,FORMULA: =D67,FORMULA: =E67,FORMULA: =F67,FORMULA: =G67,FORMULA: =H67,FORMULA: =I67,FORMULA: =J67,FORMULA: =K67,FORMULA: =L67,FORMULA: =M67,FORMULA: =N67,FORMULA: =O67,FORMULA: =P67,FORMULA: =Q67,FORMULA: =R67,FORMULA: =S67
,,,,,,,,,,,,,,,,,,,
,Investment Account,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Opening,0,FORMULA: =C81,FORMULA: =D81,FORMULA: =E81,FORMULA: =F81,FORMULA: =G81,FORMULA: =H81,FORMULA: =I81,FORMULA: =J81,FORMULA: =K81,FORMULA: =L81,FORMULA: =M81,FORMULA: =N81,FORMULA: =O81,FORMULA: =P81,FORMULA: =Q81,FORMULA: =R81,FORMULA: =S81
,Day 1 Investment,FORMULA: =C29,,,,,,,,,,,,,,,,,
,Upfront LMI costs,FORMULA: =-MAX(C32:AG32)*$K$17,,,,,,,,,,,,,,,,,
,Investment Return,,FORMULA: =D71*D49,FORMULA: =E71*E49,FORMULA: =F71*F49,FORMULA: =G71*G49,FORMULA: =H71*H49,FORMULA: =I71*I49,FORMULA: =J71*J49,FORMULA: =K71*K49,FORMULA: =L71*L49,FORMULA: =M71*M49,FORMULA: =N71*N49,FORMULA: =O71*O49,FORMULA: =P71*P49,FORMULA: =Q71*Q49,FORMULA: =R71*R49,FORMULA: =S71*S49,FORMULA: =T71*T49
,Interest Payment,,FORMULA: =D126,FORMULA: =E126,FORMULA: =F126,FORMULA: =G126,FORMULA: =H126,FORMULA: =I126,FORMULA: =J126,FORMULA: =K126,FORMULA: =L126,FORMULA: =M126,FORMULA: =N126,FORMULA: =O126,FORMULA: =P126,FORMULA: =Q126,FORMULA: =R126,FORMULA: =S126,FORMULA: =T126
,Retailer NIM Payment,,"FORMULA: =-D65*AVERAGE(D32,D28)","FORMULA: =-E65*AVERAGE(E32,E28)","FORMULA: =-F65*AVERAGE(F32,F28)","FORMULA: =-G65*AVERAGE(G32,G28)","FORMULA: =-H65*AVERAGE(H32,H28)","FORMULA: =-I65*AVERAGE(I32,I28)","FORMULA: =-J65*AVERAGE(J32,J28)","FORMULA: =-K65*AVERAGE(K32,K28)","FORMULA: =-L65*AVERAGE(L32,L28)","FORMULA: =-M65*AVERAGE(M32,M28)","FORMULA: =-N65*AVERAGE(N32,N28)","FORMULA: =-O65*AVERAGE(O32,O28)","FORMULA: =-P65*AVERAGE(P32,P28)","FORMULA: =-Q65*AVERAGE(Q32,Q28)","FORMULA: =-R65*AVERAGE(R32,R28)","FORMULA: =-S65*AVERAGE(S32,S28)","FORMULA: =-T65*AVERAGE(T32,T28)"
,FP Margin,,FORMULA: =-D67*D71,FORMULA: =-E67*E71,FORMULA: =-F67*F71,FORMULA: =-G67*G71,FORMULA: =-H67*H71,FORMULA: =-I67*I71,FORMULA: =-J67*J71,FORMULA: =-K67*K71,FORMULA: =-L67*L71,FORMULA: =-M67*M71,FORMULA: =-N67*N71,FORMULA: =-O67*O71,FORMULA: =-P67*P71,FORMULA: =-Q67*Q71,FORMULA: =-R67*R71,FORMULA: =-S67*S71,FORMULA: =-T67*T71
,Hedging costs (running),,FORMULA: =-$K$14*D71,FORMULA: =-$K$14*E71,FORMULA: =-$K$14*F71,FORMULA: =-$K$14*G71,FORMULA: =-$K$14*H71,FORMULA: =-$K$14*I71,FORMULA: =-$K$14*J71,FORMULA: =-$K$14*K71,FORMULA: =-$K$14*L71,FORMULA: =-$K$14*M71,FORMULA: =-$K$14*N71,FORMULA: =-$K$14*O71,FORMULA: =-$K$14*P71,FORMULA: =-$K$14*Q71,FORMULA: =-$K$14*R71,FORMULA: =-$K$14*S71,FORMULA: =-$K$14*T71
,Annuity payment,,FORMULA: =-D37+D30,FORMULA: =-E37+E30,FORMULA: =-F37+F30,FORMULA: =-G37+G30,FORMULA: =-H37+H30,FORMULA: =-I37+I30,FORMULA: =-J37+J30,FORMULA: =-K37+K30,FORMULA: =-L37+L30,FORMULA: =-M37+M30,FORMULA: =-N37+N30,FORMULA: =-O37+O30,FORMULA: =-P37+P30,FORMULA: =-Q37+Q30,FORMULA: =-R37+R30,FORMULA: =-S37+S30,FORMULA: =-T37+T30
,Wind-up,,FORMULA: =(D24=$D$17)*-SUM(D71:D79),FORMULA: =(E24=$D$17)*-SUM(E71:E79),FORMULA: =(F24=$D$17)*-SUM(F71:F79),FORMULA: =(G24=$D$17)*-SUM(G71:G79),FORMULA: =(H24=$D$17)*-SUM(H71:H79),FORMULA: =(I24=$D$17)*-SUM(I71:I79),FORMULA: =(J24=$D$17)*-SUM(J71:J79),FORMULA: =(K24=$D$17)*-SUM(K71:K79),FORMULA: =(L24=$D$17)*-SUM(L71:L79),FORMULA: =(M24=$D$17)*-SUM(M71:M79),FORMULA: =(N24=$D$17)*-SUM(N71:N79),FORMULA: =(O24=$D$17)*-SUM(O71:O79),FORMULA: =(P24=$D$17)*-SUM(P71:P79),FORMULA: =(Q24=$D$17)*-SUM(Q71:Q79),FORMULA: =(R24=$D$17)*-SUM(R71:R79),FORMULA: =(S24=$D$17)*-SUM(S71:S79),FORMULA: =(T24=$D$17)*-SUM(T71:T79)
,Closing,FORMULA: =SUM(C71:C80),FORMULA: =SUM(D71:D80),FORMULA: =SUM(E71:E80),FORMULA: =SUM(F71:F80),FORMULA: =SUM(G71:G80),FORMULA: =SUM(H71:H80),FORMULA: =SUM(I71:I80),FORMULA: =SUM(J71:J80),FORMULA: =SUM(K71:K80),FORMULA: =SUM(L71:L80),FORMULA: =SUM(M71:M80),FORMULA: =SUM(N71:N80),FORMULA: =SUM(O71:O80),FORMULA: =SUM(P71:P80),FORMULA: =SUM(Q71:Q80),FORMULA: =SUM(R71:R80),FORMULA: =SUM(S71:S80),FORMULA: =SUM(T71:T80)
,,,,,,,,,,,,,,,,,,,
,Balance Sheet,,,,,,,,,,,,,,,,,,
