Optimized Rust-Powered Profitability Sweep Started: 2025-10-10 15:04:20.491337
Parameters: 100,000 paths per scenario
Method: Integrated path generation (7-8x faster, no memory overhead)
================================================================================

[2025-10-10 15:04:20] Starting OPTIMIZED RUST profitability sweep with 100,000 Monte Carlo paths
[2025-10-10 15:04:20] Total combinations to test: 2,730
[2025-10-10 15:04:20] Using integrated path generation (7-8x faster!) 🚀
[2025-10-10 15:04:25] Progress: 10/2730 (0.4%) | Rate: 1.87 sims/sec | ETA: 24.2 min | Last: Principal+Interest HV=$1,000,000 LD=10y AD=30y XIRR=N/A (⚡ Optimized: 0.53s)
[2025-10-10 15:08:37] Progress: 280/2730 (10.3%) | Rate: 1.09 sims/sec | ETA: 37.4 min | Last: Principal+Interest HV=$1,900,000 LD=10y AD=30y XIRR=N/A (⚡ Optimized: 0.55s)
[2025-10-10 15:08:45] Progress: 290/2730 (10.6%) | Rate: 1.09 sims/sec | ETA: 37.2 min | Last: Principal+Interest HV=$1,900,000 LD=20y AD=20y XIRR=N/A (⚡ Optimized: 1.09s)
[2025-10-10 15:08:59] Progress: 300/2730 (11.0%) | Rate: 1.08 sims/sec | ETA: 37.7 min | Last: Principal+Interest HV=$1,900,000 LD=30y AD=30y XIRR=N/A (⚡ Optimized: 1.84s)
[2025-10-10 15:09:05] Progress: 310/2730 (11.4%) | Rate: 1.09 sims/sec | ETA: 37.1 min | Last: Principal+Interest HV=$2,000,000 LD=10y AD=30y XIRR=N/A (⚡ Optimized: 0.56s)
[2025-10-10 15:09:14] Progress: 320/2730 (11.7%) | Rate: 1.09 sims/sec | ETA: 36.9 min | Last: Principal+Interest HV=$2,000,000 LD=20y AD=20y XIRR=N/A (⚡ Optimized: 1.09s)
[2025-10-10 15:09:27] Progress: 330/2730 (12.1%) | Rate: 1.07 sims/sec | ETA: 37.3 min | Last: Principal+Interest HV=$2,000,000 LD=30y AD=30y XIRR=N/A (⚡ Optimized: 1.64s)
[2025-10-10 15:09:33] Progress: 340/2730 (12.5%) | Rate: 1.09 sims/sec | ETA: 36.7 min | Last: Principal+Interest HV=$2,100,000 LD=10y AD=30y XIRR=N/A (⚡ Optimized: 0.55s)
[2025-10-10 15:09:42] Progress: 350/2730 (12.8%) | Rate: 1.09 sims/sec | ETA: 36.5 min | Last: Principal+Interest HV=$2,100,000 LD=20y AD=20y XIRR=N/A (⚡ Optimized: 1.11s)
[2025-10-10 15:09:55] Progress: 360/2730 (13.2%) | Rate: 1.08 sims/sec | ETA: 36.7 min | Last: Principal+Interest HV=$2,100,000 LD=30y AD=30y XIRR=N/A (⚡ Optimized: 1.63s)
[2025-10-10 15:10:00] Progress: 370/2730 (13.6%) | Rate: 1.09 sims/sec | ETA: 36.2 min | Last: Principal+Interest HV=$2,200,000 LD=10y AD=30y XIRR=N/A (⚡ Optimized: 0.55s)
[2025-10-10 15:10:09] Progress: 380/2730 (13.9%) | Rate: 1.09 sims/sec | ETA: 36.0 min | Last: Principal+Interest HV=$2,200,000 LD=20y AD=20y XIRR=N/A (⚡ Optimized: 1.11s)
[2025-10-10 15:10:22] Progress: 390/2730 (14.3%) | Rate: 1.08 sims/sec | ETA: 36.2 min | Last: Principal+Interest HV=$2,200,000 LD=30y AD=30y XIRR=N/A (⚡ Optimized: 1.63s)
[2025-10-10 15:10:28] Progress: 400/2730 (14.7%) | Rate: 1.09 sims/sec | ETA: 35.7 min | Last: Principal+Interest HV=$2,300,000 LD=10y AD=30y XIRR=N/A (⚡ Optimized: 0.58s)
[2025-10-10 15:10:37] Progress: 410/2730 (15.0%) | Rate: 1.09 sims/sec | ETA: 35.5 min | Last: Principal+Interest HV=$2,300,000 LD=20y AD=20y XIRR=N/A (⚡ Optimized: 1.10s)
[2025-10-10 15:10:50] Progress: 420/2730 (15.4%) | Rate: 1.08 sims/sec | ETA: 35.7 min | Last: Principal+Interest HV=$2,300,000 LD=30y AD=30y XIRR=N/A (⚡ Optimized: 1.63s)
[2025-10-10 15:10:55] Progress: 430/2730 (15.8%) | Rate: 1.09 sims/sec | ETA: 35.2 min | Last: Principal+Interest HV=$2,400,000 LD=10y AD=30y XIRR=N/A (⚡ Optimized: 0.55s)
[2025-10-10 15:11:04] Progress: 440/2730 (16.1%) | Rate: 1.09 sims/sec | ETA: 35.1 min | Last: Principal+Interest HV=$2,400,000 LD=20y AD=20y XIRR=N/A (⚡ Optimized: 1.09s)
[2025-10-10 15:11:17] Progress: 450/2730 (16.5%) | Rate: 1.08 sims/sec | ETA: 35.2 min | Last: Principal+Interest HV=$2,400,000 LD=30y AD=30y XIRR=N/A (⚡ Optimized: 1.63s)
[2025-10-10 15:11:23] Progress: 460/2730 (16.8%) | Rate: 1.09 sims/sec | ETA: 34.8 min | Last: Principal+Interest HV=$2,500,000 LD=10y AD=30y XIRR=N/A (⚡ Optimized: 0.55s)
[2025-10-10 15:11:32] Progress: 470/2730 (17.2%) | Rate: 1.09 sims/sec | ETA: 34.6 min | Last: Principal+Interest HV=$2,500,000 LD=20y AD=20y XIRR=N/A (⚡ Optimized: 1.09s)
[2025-10-10 15:11:45] Progress: 480/2730 (17.6%) | Rate: 1.08 sims/sec | ETA: 34.7 min | Last: Principal+Interest HV=$2,500,000 LD=30y AD=30y XIRR=N/A (⚡ Optimized: 1.62s)
[2025-10-10 15:11:50] Progress: 490/2730 (17.9%) | Rate: 1.09 sims/sec | ETA: 34.3 min | Last: Principal+Interest HV=$2,600,000 LD=10y AD=30y XIRR=N/A (⚡ Optimized: 0.55s)
[2025-10-10 15:11:59] Progress: 500/2730 (18.3%) | Rate: 1.09 sims/sec | ETA: 34.1 min | Last: Principal+Interest HV=$2,600,000 LD=20y AD=20y XIRR=N/A (⚡ Optimized: 1.09s)
[2025-10-10 15:12:12] Progress: 510/2730 (18.7%) | Rate: 1.08 sims/sec | ETA: 34.3 min | Last: Principal+Interest HV=$2,600,000 LD=30y AD=30y XIRR=N/A (⚡ Optimized: 1.71s)
[2025-10-10 15:12:18] Progress: 520/2730 (19.0%) | Rate: 1.09 sims/sec | ETA: 33.8 min | Last: Principal+Interest HV=$2,700,000 LD=10y AD=30y XIRR=N/A (⚡ Optimized: 0.57s)
[2025-10-10 15:12:27] Progress: 530/2730 (19.4%) | Rate: 1.09 sims/sec | ETA: 33.7 min | Last: Principal+Interest HV=$2,700,000 LD=20y AD=20y XIRR=N/A (⚡ Optimized: 1.09s)
[2025-10-10 15:12:40] Progress: 540/2730 (19.8%) | Rate: 1.08 sims/sec | ETA: 33.8 min | Last: Principal+Interest HV=$2,700,000 LD=30y AD=30y XIRR=N/A (⚡ Optimized: 1.62s)
[2025-10-10 15:12:46] Progress: 550/2730 (20.1%) | Rate: 1.09 sims/sec | ETA: 33.4 min | Last: Principal+Interest HV=$2,800,000 LD=10y AD=30y XIRR=N/A (⚡ Optimized: 0.56s)
[2025-10-10 15:12:54] Progress: 560/2730 (20.5%) | Rate: 1.09 sims/sec | ETA: 33.2 min | Last: Principal+Interest HV=$2,800,000 LD=20y AD=20y XIRR=N/A (⚡ Optimized: 1.09s)
[2025-10-10 15:13:09] Progress: 570/2730 (20.9%) | Rate: 1.08 sims/sec | ETA: 33.4 min | Last: Principal+Interest HV=$2,800,000 LD=30y AD=30y XIRR=N/A (⚡ Optimized: 1.84s)
[2025-10-10 15:13:14] Progress: 580/2730 (21.2%) | Rate: 1.09 sims/sec | ETA: 33.0 min | Last: Principal+Interest HV=$2,900,000 LD=10y AD=30y XIRR=N/A (⚡ Optimized: 0.55s)
[2025-10-10 15:13:23] Progress: 590/2730 (21.6%) | Rate: 1.09 sims/sec | ETA: 32.8 min | Last: Principal+Interest HV=$2,900,000 LD=20y AD=20y XIRR=N/A (⚡ Optimized: 1.10s)
[2025-10-10 15:13:36] Progress: 600/2730 (22.0%) | Rate: 1.08 sims/sec | ETA: 32.9 min | Last: Principal+Interest HV=$2,900,000 LD=30y AD=30y XIRR=N/A (⚡ Optimized: 1.66s)
[2025-10-10 15:13:42] Progress: 610/2730 (22.3%) | Rate: 1.09 sims/sec | ETA: 32.5 min | Last: Principal+Interest HV=$3,000,000 LD=10y AD=30y XIRR=N/A (⚡ Optimized: 0.55s)
[2025-10-10 15:13:50] Progress: 620/2730 (22.7%) | Rate: 1.09 sims/sec | ETA: 32.4 min | Last: Principal+Interest HV=$3,000,000 LD=20y AD=20y XIRR=N/A (⚡ Optimized: 1.11s)
[2025-10-10 15:14:04] Progress: 630/2730 (23.1%) | Rate: 1.08 sims/sec | ETA: 32.4 min | Last: Principal+Interest HV=$3,000,000 LD=30y AD=30y XIRR=N/A (⚡ Optimized: 1.62s)
[2025-10-10 15:14:09] Progress: 640/2730 (23.4%) | Rate: 1.09 sims/sec | ETA: 32.1 min | Last: Principal+Interest HV=$3,100,000 LD=10y AD=30y XIRR=N/A (⚡ Optimized: 0.55s)
[2025-10-10 15:14:18] Progress: 650/2730 (23.8%) | Rate: 1.09 sims/sec | ETA: 31.9 min | Last: Principal+Interest HV=$3,100,000 LD=20y AD=20y XIRR=N/A (⚡ Optimized: 1.09s)
[2025-10-10 15:14:31] Progress: 660/2730 (24.2%) | Rate: 1.08 sims/sec | ETA: 32.0 min | Last: Principal+Interest HV=$3,100,000 LD=30y AD=30y XIRR=N/A (⚡ Optimized: 1.63s)
[2025-10-10 15:14:37] Progress: 670/2730 (24.5%) | Rate: 1.09 sims/sec | ETA: 31.6 min | Last: Principal+Interest HV=$3,200,000 LD=10y AD=30y XIRR=N/A (⚡ Optimized: 0.55s)
[2025-10-10 15:14:46] Progress: 680/2730 (24.9%) | Rate: 1.09 sims/sec | ETA: 31.4 min | Last: Principal+Interest HV=$3,200,000 LD=20y AD=20y XIRR=N/A (⚡ Optimized: 1.09s)
[2025-10-10 15:14:59] Progress: 690/2730 (25.3%) | Rate: 1.08 sims/sec | ETA: 31.5 min | Last: Principal+Interest HV=$3,200,000 LD=30y AD=30y XIRR=N/A (⚡ Optimized: 1.64s)
[2025-10-10 15:15:05] Progress: 700/2730 (25.6%) | Rate: 1.09 sims/sec | ETA: 31.2 min | Last: Principal+Interest HV=$3,300,000 LD=10y AD=30y XIRR=N/A (⚡ Optimized: 0.55s)
[2025-10-10 15:15:13] Progress: 710/2730 (26.0%) | Rate: 1.09 sims/sec | ETA: 31.0 min | Last: Principal+Interest HV=$3,300,000 LD=20y AD=20y XIRR=N/A (⚡ Optimized: 1.09s)
[2025-10-10 15:15:26] Progress: 720/2730 (26.4%) | Rate: 1.08 sims/sec | ETA: 31.0 min | Last: Principal+Interest HV=$3,300,000 LD=30y AD=30y XIRR=N/A (⚡ Optimized: 1.63s)
[2025-10-10 15:15:32] Progress: 730/2730 (26.7%) | Rate: 1.09 sims/sec | ETA: 30.7 min | Last: Principal+Interest HV=$3,400,000 LD=10y AD=30y XIRR=N/A (⚡ Optimized: 0.59s)
[2025-10-10 15:15:41] Progress: 740/2730 (27.1%) | Rate: 1.09 sims/sec | ETA: 30.5 min | Last: Principal+Interest HV=$3,400,000 LD=20y AD=20y XIRR=N/A (⚡ Optimized: 1.08s)
[2025-10-10 15:15:54] Progress: 750/2730 (27.5%) | Rate: 1.08 sims/sec | ETA: 30.5 min | Last: Principal+Interest HV=$3,400,000 LD=30y AD=30y XIRR=N/A (⚡ Optimized: 1.62s)
[2025-10-10 15:16:00] Progress: 760/2730 (27.8%) | Rate: 1.09 sims/sec | ETA: 30.2 min | Last: Principal+Interest HV=$3,500,000 LD=10y AD=30y XIRR=N/A (⚡ Optimized: 0.55s)
[2025-10-10 15:16:08] Progress: 770/2730 (28.2%) | Rate: 1.09 sims/sec | ETA: 30.1 min | Last: Principal+Interest HV=$3,500,000 LD=20y AD=20y XIRR=N/A (⚡ Optimized: 1.09s)
[2025-10-10 15:16:22] Progress: 780/2730 (28.6%) | Rate: 1.08 sims/sec | ETA: 30.1 min | Last: Principal+Interest HV=$3,500,000 LD=30y AD=30y XIRR=N/A (⚡ Optimized: 1.61s)
[2025-10-10 15:16:27] Progress: 790/2730 (28.9%) | Rate: 1.09 sims/sec | ETA: 29.8 min | Last: Principal+Interest HV=$3,600,000 LD=10y AD=30y XIRR=N/A (⚡ Optimized: 0.56s)
[2025-10-10 15:16:36] Progress: 800/2730 (29.3%) | Rate: 1.09 sims/sec | ETA: 29.6 min | Last: Principal+Interest HV=$3,600,000 LD=20y AD=20y XIRR=N/A (⚡ Optimized: 1.09s)
[2025-10-10 15:16:49] Progress: 810/2730 (29.7%) | Rate: 1.08 sims/sec | ETA: 29.6 min | Last: Principal+Interest HV=$3,600,000 LD=30y AD=30y XIRR=N/A (⚡ Optimized: 1.65s)
[2025-10-10 15:16:55] Progress: 820/2730 (30.0%) | Rate: 1.09 sims/sec | ETA: 29.3 min | Last: Principal+Interest HV=$3,700,000 LD=10y AD=30y XIRR=N/A (⚡ Optimized: 0.59s)
[2025-10-10 15:17:04] Progress: 830/2730 (30.4%) | Rate: 1.09 sims/sec | ETA: 29.1 min | Last: Principal+Interest HV=$3,700,000 LD=20y AD=20y XIRR=N/A (⚡ Optimized: 1.12s)
[2025-10-10 15:17:17] Progress: 840/2730 (30.8%) | Rate: 1.08 sims/sec | ETA: 29.1 min | Last: Principal+Interest HV=$3,700,000 LD=30y AD=30y XIRR=N/A (⚡ Optimized: 1.70s)
[2025-10-10 15:17:23] Progress: 850/2730 (31.1%) | Rate: 1.09 sims/sec | ETA: 28.9 min | Last: Principal+Interest HV=$3,800,000 LD=10y AD=30y XIRR=N/A (⚡ Optimized: 0.55s)
[2025-10-10 15:17:32] Progress: 860/2730 (31.5%) | Rate: 1.09 sims/sec | ETA: 28.7 min | Last: Principal+Interest HV=$3,800,000 LD=20y AD=20y XIRR=N/A (⚡ Optimized: 1.09s)
[2025-10-10 15:17:45] Progress: 870/2730 (31.9%) | Rate: 1.08 sims/sec | ETA: 28.7 min | Last: Principal+Interest HV=$3,800,000 LD=30y AD=30y XIRR=N/A (⚡ Optimized: 1.63s)
[2025-10-10 15:17:50] Progress: 880/2730 (32.2%) | Rate: 1.09 sims/sec | ETA: 28.4 min | Last: Principal+Interest HV=$3,900,000 LD=10y AD=30y XIRR=N/A (⚡ Optimized: 0.55s)
[2025-10-10 15:17:59] Progress: 890/2730 (32.6%) | Rate: 1.09 sims/sec | ETA: 28.2 min | Last: Principal+Interest HV=$3,900,000 LD=20y AD=20y XIRR=N/A (⚡ Optimized: 1.11s)
[2025-10-10 15:18:12] Progress: 900/2730 (33.0%) | Rate: 1.08 sims/sec | ETA: 28.2 min | Last: Principal+Interest HV=$3,900,000 LD=30y AD=30y XIRR=N/A (⚡ Optimized: 1.62s)
[2025-10-10 15:18:18] Progress: 910/2730 (33.3%) | Rate: 1.09 sims/sec | ETA: 27.9 min | Last: Principal+Interest HV=$4,000,000 LD=10y AD=30y XIRR=N/A (⚡ Optimized: 0.55s)
[2025-10-10 15:18:27] Progress: 920/2730 (33.7%) | Rate: 1.09 sims/sec | ETA: 27.8 min | Last: Principal+Interest HV=$4,000,000 LD=20y AD=20y XIRR=N/A (⚡ Optimized: 1.10s)
[2025-10-10 15:18:40] Progress: 930/2730 (34.1%) | Rate: 1.08 sims/sec | ETA: 27.7 min | Last: Principal+Interest HV=$4,000,000 LD=30y AD=30y XIRR=N/A (⚡ Optimized: 1.62s)
[2025-10-10 15:18:45] Progress: 940/2730 (34.4%) | Rate: 1.09 sims/sec | ETA: 27.5 min | Last: Principal+Interest HV=$4,100,000 LD=10y AD=30y XIRR=N/A (⚡ Optimized: 0.54s)
[2025-10-10 15:18:54] Progress: 950/2730 (34.8%) | Rate: 1.09 sims/sec | ETA: 27.3 min | Last: Principal+Interest HV=$4,100,000 LD=20y AD=20y XIRR=N/A (⚡ Optimized: 1.10s)
[2025-10-10 15:19:07] Progress: 960/2730 (35.2%) | Rate: 1.08 sims/sec | ETA: 27.3 min | Last: Principal+Interest HV=$4,100,000 LD=30y AD=30y XIRR=N/A (⚡ Optimized: 1.62s)
[2025-10-10 15:19:13] Progress: 970/2730 (35.5%) | Rate: 1.09 sims/sec | ETA: 27.0 min | Last: Principal+Interest HV=$4,200,000 LD=10y AD=30y XIRR=N/A (⚡ Optimized: 0.55s)
[2025-10-10 15:19:22] Progress: 980/2730 (35.9%) | Rate: 1.09 sims/sec | ETA: 26.8 min | Last: Principal+Interest HV=$4,200,000 LD=20y AD=20y XIRR=N/A (⚡ Optimized: 1.11s)
[2025-10-10 15:19:35] Progress: 990/2730 (36.3%) | Rate: 1.08 sims/sec | ETA: 26.8 min | Last: Principal+Interest HV=$4,200,000 LD=30y AD=30y XIRR=N/A (⚡ Optimized: 1.62s)
[2025-10-10 15:19:40] Progress: 1000/2730 (36.6%) | Rate: 1.09 sims/sec | ETA: 26.5 min | Last: Principal+Interest HV=$4,300,000 LD=10y AD=30y XIRR=N/A (⚡ Optimized: 0.55s)
[2025-10-10 15:19:49] Progress: 1010/2730 (37.0%) | Rate: 1.09 sims/sec | ETA: 26.4 min | Last: Principal+Interest HV=$4,300,000 LD=20y AD=20y XIRR=N/A (⚡ Optimized: 1.11s)
[2025-10-10 15:20:02] Progress: 1020/2730 (37.4%) | Rate: 1.08 sims/sec | ETA: 26.3 min | Last: Principal+Interest HV=$4,300,000 LD=30y AD=30y XIRR=N/A (⚡ Optimized: 1.67s)
[2025-10-10 15:20:08] Progress: 1030/2730 (37.7%) | Rate: 1.09 sims/sec | ETA: 26.1 min | Last: Principal+Interest HV=$4,400,000 LD=10y AD=30y XIRR=N/A (⚡ Optimized: 0.57s)
[2025-10-10 15:20:16] Progress: 1040/2730 (38.1%) | Rate: 1.09 sims/sec | ETA: 25.9 min | Last: Principal+Interest HV=$4,400,000 LD=20y AD=20y XIRR=N/A (⚡ Optimized: 1.11s)
[2025-10-10 15:20:30] Progress: 1050/2730 (38.5%) | Rate: 1.08 sims/sec | ETA: 25.9 min | Last: Principal+Interest HV=$4,400,000 LD=30y AD=30y XIRR=N/A (⚡ Optimized: 1.65s)
[2025-10-10 15:20:35] Progress: 1060/2730 (38.8%) | Rate: 1.09 sims/sec | ETA: 25.6 min | Last: Principal+Interest HV=$4,500,000 LD=10y AD=30y XIRR=N/A (⚡ Optimized: 0.55s)
[2025-10-10 15:20:44] Progress: 1070/2730 (39.2%) | Rate: 1.09 sims/sec | ETA: 25.4 min | Last: Principal+Interest HV=$4,500,000 LD=20y AD=20y XIRR=N/A (⚡ Optimized: 1.09s)
[2025-10-10 15:20:57] Progress: 1080/2730 (39.6%) | Rate: 1.08 sims/sec | ETA: 25.4 min | Last: Principal+Interest HV=$4,500,000 LD=30y AD=30y XIRR=N/A (⚡ Optimized: 1.66s)
[2025-10-10 15:21:03] Progress: 1090/2730 (39.9%) | Rate: 1.09 sims/sec | ETA: 25.2 min | Last: Principal+Interest HV=$4,600,000 LD=10y AD=30y XIRR=N/A (⚡ Optimized: 0.55s)
[2025-10-10 15:21:12] Progress: 1100/2730 (40.3%) | Rate: 1.09 sims/sec | ETA: 25.0 min | Last: Principal+Interest HV=$4,600,000 LD=20y AD=20y XIRR=N/A (⚡ Optimized: 1.10s)
[2025-10-10 15:21:25] Progress: 1110/2730 (40.7%) | Rate: 1.08 sims/sec | ETA: 24.9 min | Last: Principal+Interest HV=$4,600,000 LD=30y AD=30y XIRR=N/A (⚡ Optimized: 1.63s)
[2025-10-10 15:21:31] Progress: 1120/2730 (41.0%) | Rate: 1.09 sims/sec | ETA: 24.7 min | Last: Principal+Interest HV=$4,700,000 LD=10y AD=30y XIRR=N/A (⚡ Optimized: 0.55s)
[2025-10-10 15:21:39] Progress: 1130/2730 (41.4%) | Rate: 1.09 sims/sec | ETA: 24.5 min | Last: Principal+Interest HV=$4,700,000 LD=20y AD=20y XIRR=N/A (⚡ Optimized: 1.11s)
[2025-10-10 15:21:52] Progress: 1140/2730 (41.8%) | Rate: 1.08 sims/sec | ETA: 24.5 min | Last: Principal+Interest HV=$4,700,000 LD=30y AD=30y XIRR=N/A (⚡ Optimized: 1.62s)
[2025-10-10 15:21:58] Progress: 1150/2730 (42.1%) | Rate: 1.09 sims/sec | ETA: 24.2 min | Last: Principal+Interest HV=$4,800,000 LD=10y AD=30y XIRR=N/A (⚡ Optimized: 0.56s)
[2025-10-10 15:22:07] Progress: 1160/2730 (42.5%) | Rate: 1.09 sims/sec | ETA: 24.1 min | Last: Principal+Interest HV=$4,800,000 LD=20y AD=20y XIRR=N/A (⚡ Optimized: 1.10s)
[2025-10-10 15:22:20] Progress: 1170/2730 (42.9%) | Rate: 1.08 sims/sec | ETA: 24.0 min | Last: Principal+Interest HV=$4,800,000 LD=30y AD=30y XIRR=N/A (⚡ Optimized: 1.64s)
[2025-10-10 15:22:26] Progress: 1180/2730 (43.2%) | Rate: 1.09 sims/sec | ETA: 23.8 min | Last: Principal+Interest HV=$4,900,000 LD=10y AD=30y XIRR=N/A (⚡ Optimized: 0.55s)
[2025-10-10 15:22:35] Progress: 1190/2730 (43.6%) | Rate: 1.09 sims/sec | ETA: 23.6 min | Last: Principal+Interest HV=$4,900,000 LD=20y AD=20y XIRR=N/A (⚡ Optimized: 1.10s)
[2025-10-10 15:22:48] Progress: 1200/2730 (44.0%) | Rate: 1.08 sims/sec | ETA: 23.5 min | Last: Principal+Interest HV=$4,900,000 LD=30y AD=30y XIRR=N/A (⚡ Optimized: 1.63s)
