Rust Profitability Sweep Started: 2025-10-11 10:26:20.826866
Parameters: 1,000,000 paths per scenario
Method: Optimized integrated path generation
Cash Rate: 3.1% (historical average)
Interest Rate Bug Fix: Applied (correct quarterly calculation)
================================================================================

[2025-10-11 10:26:20] Starting Rust profitability sweep with 1,000,000 Monte Carlo paths
[2025-10-11 10:26:20] Total combinations to test: 2,730
[2025-10-11 10:26:20] Using optimized integrated path generation 🚀
[2025-10-11 10:27:15] Progress: 10/2730 (0.4%) | Rate: 0.18 sims/sec | ETA: 247.2 min | Last: Principal+Interest HV=$1,000,000 LD=10y AD=30y XIRR=N/A (⚡ Rust: 5.46s)
[2025-10-11 11:49:54] Progress: 570/2730 (20.9%) | Rate: 0.11 sims/sec | ETA: 316.7 min | Last: Principal+Interest HV=$2,800,000 LD=30y AD=30y XIRR=N/A (⚡ Rust: 17.16s)
[2025-10-11 11:50:46] Progress: 580/2730 (21.2%) | Rate: 0.11 sims/sec | ETA: 313.0 min | Last: Principal+Interest HV=$2,900,000 LD=10y AD=30y XIRR=N/A (⚡ Rust: 5.15s)
[2025-10-11 11:52:09] Progress: 590/2730 (21.6%) | Rate: 0.11 sims/sec | ETA: 311.3 min | Last: Principal+Interest HV=$2,900,000 LD=20y AD=20y XIRR=N/A (⚡ Rust: 10.95s)
[2025-10-11 11:54:11] Progress: 600/2730 (22.0%) | Rate: 0.11 sims/sec | ETA: 311.9 min | Last: Principal+Interest HV=$2,900,000 LD=30y AD=30y XIRR=N/A (⚡ Rust: 15.12s)
[2025-10-11 11:55:03] Progress: 610/2730 (22.3%) | Rate: 0.11 sims/sec | ETA: 308.3 min | Last: Principal+Interest HV=$3,000,000 LD=10y AD=30y XIRR=N/A (⚡ Rust: 5.09s)
[2025-10-11 11:56:24] Progress: 620/2730 (22.7%) | Rate: 0.11 sims/sec | ETA: 306.5 min | Last: Principal+Interest HV=$3,000,000 LD=20y AD=20y XIRR=N/A (⚡ Rust: 10.28s)
[2025-10-11 11:58:26] Progress: 630/2730 (23.1%) | Rate: 0.11 sims/sec | ETA: 307.0 min | Last: Principal+Interest HV=$3,000,000 LD=30y AD=30y XIRR=N/A (⚡ Rust: 15.12s)
[2025-10-11 11:59:17] Progress: 640/2730 (23.4%) | Rate: 0.11 sims/sec | ETA: 303.5 min | Last: Principal+Interest HV=$3,100,000 LD=10y AD=30y XIRR=N/A (⚡ Rust: 5.10s)
[2025-10-11 12:00:42] Progress: 650/2730 (23.8%) | Rate: 0.11 sims/sec | ETA: 302.0 min | Last: Principal+Interest HV=$3,100,000 LD=20y AD=20y XIRR=N/A (⚡ Rust: 11.51s)
[2025-10-11 12:02:46] Progress: 660/2730 (24.2%) | Rate: 0.11 sims/sec | ETA: 302.4 min | Last: Principal+Interest HV=$3,100,000 LD=30y AD=30y XIRR=N/A (⚡ Rust: 15.46s)
[2025-10-11 12:03:38] Progress: 670/2730 (24.5%) | Rate: 0.11 sims/sec | ETA: 299.2 min | Last: Principal+Interest HV=$3,200,000 LD=10y AD=30y XIRR=N/A (⚡ Rust: 5.26s)
[2025-10-11 12:05:01] Progress: 680/2730 (24.9%) | Rate: 0.11 sims/sec | ETA: 297.5 min | Last: Principal+Interest HV=$3,200,000 LD=20y AD=20y XIRR=N/A (⚡ Rust: 10.34s)
[2025-10-11 12:07:03] Progress: 690/2730 (25.3%) | Rate: 0.11 sims/sec | ETA: 297.8 min | Last: Principal+Interest HV=$3,200,000 LD=30y AD=30y XIRR=N/A (⚡ Rust: 15.38s)
[2025-10-11 12:07:55] Progress: 700/2730 (25.6%) | Rate: 0.11 sims/sec | ETA: 294.6 min | Last: Principal+Interest HV=$3,300,000 LD=10y AD=30y XIRR=N/A (⚡ Rust: 5.19s)
[2025-10-11 12:09:17] Progress: 710/2730 (26.0%) | Rate: 0.11 sims/sec | ETA: 292.9 min | Last: Principal+Interest HV=$3,300,000 LD=20y AD=20y XIRR=N/A (⚡ Rust: 10.20s)
[2025-10-11 12:11:19] Progress: 720/2730 (26.4%) | Rate: 0.11 sims/sec | ETA: 293.1 min | Last: Principal+Interest HV=$3,300,000 LD=30y AD=30y XIRR=N/A (⚡ Rust: 15.35s)
[2025-10-11 12:12:11] Progress: 730/2730 (26.7%) | Rate: 0.11 sims/sec | ETA: 290.0 min | Last: Principal+Interest HV=$3,400,000 LD=10y AD=30y XIRR=N/A (⚡ Rust: 5.18s)
[2025-10-11 12:13:33] Progress: 740/2730 (27.1%) | Rate: 0.12 sims/sec | ETA: 288.3 min | Last: Principal+Interest HV=$3,400,000 LD=20y AD=20y XIRR=N/A (⚡ Rust: 10.18s)
[2025-10-11 12:15:36] Progress: 750/2730 (27.5%) | Rate: 0.11 sims/sec | ETA: 288.4 min | Last: Principal+Interest HV=$3,400,000 LD=30y AD=30y XIRR=N/A (⚡ Rust: 15.27s)
[2025-10-11 12:16:28] Progress: 760/2730 (27.8%) | Rate: 0.12 sims/sec | ETA: 285.4 min | Last: Principal+Interest HV=$3,500,000 LD=10y AD=30y XIRR=N/A (⚡ Rust: 5.16s)
[2025-10-11 12:17:49] Progress: 770/2730 (28.2%) | Rate: 0.12 sims/sec | ETA: 283.8 min | Last: Principal+Interest HV=$3,500,000 LD=20y AD=20y XIRR=N/A (⚡ Rust: 10.24s)
[2025-10-11 12:19:52] Progress: 780/2730 (28.6%) | Rate: 0.11 sims/sec | ETA: 283.8 min | Last: Principal+Interest HV=$3,500,000 LD=30y AD=30y XIRR=N/A (⚡ Rust: 15.48s)
[2025-10-11 12:20:45] Progress: 790/2730 (28.9%) | Rate: 0.12 sims/sec | ETA: 281.0 min | Last: Principal+Interest HV=$3,600,000 LD=10y AD=30y XIRR=N/A (⚡ Rust: 5.17s)
[2025-10-11 12:22:09] Progress: 800/2730 (29.3%) | Rate: 0.12 sims/sec | ETA: 279.4 min | Last: Principal+Interest HV=$3,600,000 LD=20y AD=20y XIRR=N/A (⚡ Rust: 10.99s)
[2025-10-11 12:24:12] Progress: 810/2730 (29.7%) | Rate: 0.11 sims/sec | ETA: 279.4 min | Last: Principal+Interest HV=$3,600,000 LD=30y AD=30y XIRR=N/A (⚡ Rust: 15.23s)
[2025-10-11 12:25:04] Progress: 820/2730 (30.0%) | Rate: 0.12 sims/sec | ETA: 276.5 min | Last: Principal+Interest HV=$3,700,000 LD=10y AD=30y XIRR=N/A (⚡ Rust: 5.20s)
[2025-10-11 12:26:28] Progress: 830/2730 (30.4%) | Rate: 0.12 sims/sec | ETA: 275.0 min | Last: Principal+Interest HV=$3,700,000 LD=20y AD=20y XIRR=N/A (⚡ Rust: 10.92s)
[2025-10-11 12:28:32] Progress: 840/2730 (30.8%) | Rate: 0.11 sims/sec | ETA: 275.0 min | Last: Principal+Interest HV=$3,700,000 LD=30y AD=30y XIRR=N/A (⚡ Rust: 15.84s)
[2025-10-11 12:29:24] Progress: 850/2730 (31.1%) | Rate: 0.12 sims/sec | ETA: 272.2 min | Last: Principal+Interest HV=$3,800,000 LD=10y AD=30y XIRR=N/A (⚡ Rust: 5.15s)
[2025-10-11 12:30:46] Progress: 860/2730 (31.5%) | Rate: 0.12 sims/sec | ETA: 270.6 min | Last: Principal+Interest HV=$3,800,000 LD=20y AD=20y XIRR=N/A (⚡ Rust: 10.26s)
[2025-10-11 12:33:58] Progress: 870/2730 (31.9%) | Rate: 0.11 sims/sec | ETA: 272.9 min | Last: Principal+Interest HV=$3,800,000 LD=30y AD=30y XIRR=N/A (⚡ Rust: 33.73s)
[2025-10-11 12:35:40] Progress: 880/2730 (32.2%) | Rate: 0.11 sims/sec | ETA: 271.9 min | Last: Principal+Interest HV=$3,900,000 LD=10y AD=30y XIRR=N/A (⚡ Rust: 10.00s)
[2025-10-11 12:38:04] Progress: 890/2730 (32.6%) | Rate: 0.11 sims/sec | ETA: 272.3 min | Last: Principal+Interest HV=$3,900,000 LD=20y AD=20y XIRR=N/A (⚡ Rust: 11.68s)
[2025-10-11 12:40:19] Progress: 900/2730 (33.0%) | Rate: 0.11 sims/sec | ETA: 272.4 min | Last: Principal+Interest HV=$3,900,000 LD=30y AD=30y XIRR=N/A (⚡ Rust: 16.60s)
[2025-10-11 12:41:14] Progress: 910/2730 (33.3%) | Rate: 0.11 sims/sec | ETA: 269.8 min | Last: Principal+Interest HV=$4,000,000 LD=10y AD=30y XIRR=N/A (⚡ Rust: 5.60s)
[2025-10-11 12:42:43] Progress: 920/2730 (33.7%) | Rate: 0.11 sims/sec | ETA: 268.3 min | Last: Principal+Interest HV=$4,000,000 LD=20y AD=20y XIRR=N/A (⚡ Rust: 11.01s)
[2025-10-11 12:44:55] Progress: 930/2730 (34.1%) | Rate: 0.11 sims/sec | ETA: 268.2 min | Last: Principal+Interest HV=$4,000,000 LD=30y AD=30y XIRR=N/A (⚡ Rust: 16.59s)
[2025-10-11 12:45:52] Progress: 940/2730 (34.4%) | Rate: 0.11 sims/sec | ETA: 265.7 min | Last: Principal+Interest HV=$4,100,000 LD=10y AD=30y XIRR=N/A (⚡ Rust: 5.81s)
[2025-10-11 12:47:21] Progress: 950/2730 (34.8%) | Rate: 0.11 sims/sec | ETA: 264.2 min | Last: Principal+Interest HV=$4,100,000 LD=20y AD=20y XIRR=N/A (⚡ Rust: 10.70s)
[2025-10-11 12:49:29] Progress: 960/2730 (35.2%) | Rate: 0.11 sims/sec | ETA: 263.9 min | Last: Principal+Interest HV=$4,100,000 LD=30y AD=30y XIRR=N/A (⚡ Rust: 15.76s)
[2025-10-11 12:50:22] Progress: 970/2730 (35.5%) | Rate: 0.11 sims/sec | ETA: 261.3 min | Last: Principal+Interest HV=$4,200,000 LD=10y AD=30y XIRR=N/A (⚡ Rust: 5.28s)
[2025-10-11 12:51:50] Progress: 980/2730 (35.9%) | Rate: 0.11 sims/sec | ETA: 259.8 min | Last: Principal+Interest HV=$4,200,000 LD=20y AD=20y XIRR=N/A (⚡ Rust: 10.52s)
[2025-10-11 12:53:56] Progress: 990/2730 (36.3%) | Rate: 0.11 sims/sec | ETA: 259.4 min | Last: Principal+Interest HV=$4,200,000 LD=30y AD=30y XIRR=N/A (⚡ Rust: 15.59s)
[2025-10-11 12:54:49] Progress: 1000/2730 (36.6%) | Rate: 0.11 sims/sec | ETA: 256.9 min | Last: Principal+Interest HV=$4,300,000 LD=10y AD=30y XIRR=N/A (⚡ Rust: 5.30s)
[2025-10-11 12:56:15] Progress: 1010/2730 (37.0%) | Rate: 0.11 sims/sec | ETA: 255.3 min | Last: Principal+Interest HV=$4,300,000 LD=20y AD=20y XIRR=N/A (⚡ Rust: 10.68s)
[2025-10-11 12:58:19] Progress: 1020/2730 (37.4%) | Rate: 0.11 sims/sec | ETA: 254.8 min | Last: Principal+Interest HV=$4,300,000 LD=30y AD=30y XIRR=N/A (⚡ Rust: 15.34s)
[2025-10-11 12:59:11] Progress: 1030/2730 (37.7%) | Rate: 0.11 sims/sec | ETA: 252.3 min | Last: Principal+Interest HV=$4,400,000 LD=10y AD=30y XIRR=N/A (⚡ Rust: 5.15s)
[2025-10-11 13:00:33] Progress: 1040/2730 (38.1%) | Rate: 0.11 sims/sec | ETA: 250.6 min | Last: Principal+Interest HV=$4,400,000 LD=20y AD=20y XIRR=N/A (⚡ Rust: 10.40s)
[2025-10-11 13:02:38] Progress: 1050/2730 (38.5%) | Rate: 0.11 sims/sec | ETA: 250.1 min | Last: Principal+Interest HV=$4,400,000 LD=30y AD=30y XIRR=N/A (⚡ Rust: 15.53s)
[2025-10-11 13:03:30] Progress: 1060/2730 (38.8%) | Rate: 0.11 sims/sec | ETA: 247.6 min | Last: Principal+Interest HV=$4,500,000 LD=10y AD=30y XIRR=N/A (⚡ Rust: 5.22s)
[2025-10-11 13:04:52] Progress: 1070/2730 (39.2%) | Rate: 0.11 sims/sec | ETA: 245.9 min | Last: Principal+Interest HV=$4,500,000 LD=20y AD=20y XIRR=N/A (⚡ Rust: 10.27s)
[2025-10-11 13:07:00] Progress: 1080/2730 (39.6%) | Rate: 0.11 sims/sec | ETA: 245.5 min | Last: Principal+Interest HV=$4,500,000 LD=30y AD=30y XIRR=N/A (⚡ Rust: 15.47s)
[2025-10-11 13:07:52] Progress: 1090/2730 (39.9%) | Rate: 0.11 sims/sec | ETA: 243.0 min | Last: Principal+Interest HV=$4,600,000 LD=10y AD=30y XIRR=N/A (⚡ Rust: 5.20s)
[2025-10-11 13:09:16] Progress: 1100/2730 (40.3%) | Rate: 0.11 sims/sec | ETA: 241.4 min | Last: Principal+Interest HV=$4,600,000 LD=20y AD=20y XIRR=N/A (⚡ Rust: 10.44s)
[2025-10-11 13:11:19] Progress: 1110/2730 (40.7%) | Rate: 0.11 sims/sec | ETA: 240.8 min | Last: Principal+Interest HV=$4,600,000 LD=30y AD=30y XIRR=N/A (⚡ Rust: 15.53s)
[2025-10-11 13:12:12] Progress: 1120/2730 (41.0%) | Rate: 0.11 sims/sec | ETA: 238.4 min | Last: Principal+Interest HV=$4,700,000 LD=10y AD=30y XIRR=N/A (⚡ Rust: 5.27s)
[2025-10-11 13:13:36] Progress: 1130/2730 (41.4%) | Rate: 0.11 sims/sec | ETA: 236.8 min | Last: Principal+Interest HV=$4,700,000 LD=20y AD=20y XIRR=N/A (⚡ Rust: 10.42s)
[2025-10-11 13:15:41] Progress: 1140/2730 (41.8%) | Rate: 0.11 sims/sec | ETA: 236.2 min | Last: Principal+Interest HV=$4,700,000 LD=30y AD=30y XIRR=N/A (⚡ Rust: 15.55s)
[2025-10-11 13:16:34] Progress: 1150/2730 (42.1%) | Rate: 0.11 sims/sec | ETA: 233.9 min | Last: Principal+Interest HV=$4,800,000 LD=10y AD=30y XIRR=N/A (⚡ Rust: 5.19s)
[2025-10-11 13:17:56] Progress: 1160/2730 (42.5%) | Rate: 0.11 sims/sec | ETA: 232.3 min | Last: Principal+Interest HV=$4,800,000 LD=20y AD=20y XIRR=N/A (⚡ Rust: 10.34s)
[2025-10-11 13:20:01] Progress: 1170/2730 (42.9%) | Rate: 0.11 sims/sec | ETA: 231.6 min | Last: Principal+Interest HV=$4,800,000 LD=30y AD=30y XIRR=N/A (⚡ Rust: 15.82s)
[2025-10-11 13:20:53] Progress: 1180/2730 (43.2%) | Rate: 0.11 sims/sec | ETA: 229.3 min | Last: Principal+Interest HV=$4,900,000 LD=10y AD=30y XIRR=N/A (⚡ Rust: 5.30s)
[2025-10-11 13:22:17] Progress: 1190/2730 (43.6%) | Rate: 0.11 sims/sec | ETA: 227.7 min | Last: Principal+Interest HV=$4,900,000 LD=20y AD=20y XIRR=N/A (⚡ Rust: 10.40s)
[2025-10-11 13:24:22] Progress: 1200/2730 (44.0%) | Rate: 0.11 sims/sec | ETA: 227.0 min | Last: Principal+Interest HV=$4,900,000 LD=30y AD=30y XIRR=N/A (⚡ Rust: 15.62s)
[2025-10-11 13:25:15] Progress: 1210/2730 (44.3%) | Rate: 0.11 sims/sec | ETA: 224.7 min | Last: Principal+Interest HV=$5,000,000 LD=10y AD=30y XIRR=N/A (⚡ Rust: 5.18s)
