Rust Profitability Sweep Started: 2025-10-11 09:23:30.869192
Parameters: 100,000 paths per scenario
Method: Optimized integrated path generation
Cash Rate: 3.1% (historical average)
Interest Rate Bug Fix: Applied (correct quarterly calculation)
================================================================================

[2025-10-11 09:23:30] Starting Rust profitability sweep with 100,000 Monte Carlo paths
[2025-10-11 09:23:30] Total combinations to test: 2,730
[2025-10-11 09:23:30] Using optimized integrated path generation 🚀
[2025-10-11 09:23:36] Progress: 10/2730 (0.4%) | Rate: 1.68 sims/sec | ETA: 26.9 min | Last: Principal+Interest HV=$1,000,000 LD=10y AD=30y XIRR=N/A (⚡ Rust: 0.59s)
[2025-10-11 09:25:39] Progress: 140/2730 (5.1%) | Rate: 1.09 sims/sec | ETA: 39.7 min | Last: Principal+Interest HV=$1,400,000 LD=20y AD=20y XIRR=N/A (⚡ Rust: 1.11s)
[2025-10-11 09:25:53] Progress: 150/2730 (5.5%) | Rate: 1.05 sims/sec | ETA: 40.8 min | Last: Principal+Interest HV=$1,400,000 LD=30y AD=30y XIRR=N/A (⚡ Rust: 1.65s)
[2025-10-11 09:25:58] Progress: 160/2730 (5.9%) | Rate: 1.08 sims/sec | ETA: 39.6 min | Last: Principal+Interest HV=$1,500,000 LD=10y AD=30y XIRR=N/A (⚡ Rust: 0.56s)
[2025-10-11 09:26:10] Progress: 170/2730 (6.2%) | Rate: 1.07 sims/sec | ETA: 40.0 min | Last: Principal+Interest HV=$1,500,000 LD=20y AD=20y XIRR=N/A (⚡ Rust: 1.35s)
[2025-10-11 09:26:23] Progress: 180/2730 (6.6%) | Rate: 1.04 sims/sec | ETA: 40.9 min | Last: Principal+Interest HV=$1,500,000 LD=30y AD=30y XIRR=N/A (⚡ Rust: 1.71s)
[2025-10-11 09:26:29] Progress: 190/2730 (7.0%) | Rate: 1.06 sims/sec | ETA: 39.8 min | Last: Principal+Interest HV=$1,600,000 LD=10y AD=30y XIRR=N/A (⚡ Rust: 0.56s)
[2025-10-11 09:26:38] Progress: 200/2730 (7.3%) | Rate: 1.07 sims/sec | ETA: 39.6 min | Last: Principal+Interest HV=$1,600,000 LD=20y AD=20y XIRR=N/A (⚡ Rust: 1.17s)
[2025-10-11 09:26:51] Progress: 210/2730 (7.7%) | Rate: 1.05 sims/sec | ETA: 40.2 min | Last: Principal+Interest HV=$1,600,000 LD=30y AD=30y XIRR=N/A (⚡ Rust: 1.68s)
[2025-10-11 09:26:57] Progress: 220/2730 (8.1%) | Rate: 1.07 sims/sec | ETA: 39.3 min | Last: Principal+Interest HV=$1,700,000 LD=10y AD=30y XIRR=N/A (⚡ Rust: 0.55s)
[2025-10-11 09:27:06] Progress: 230/2730 (8.4%) | Rate: 1.07 sims/sec | ETA: 39.0 min | Last: Principal+Interest HV=$1,700,000 LD=20y AD=20y XIRR=N/A (⚡ Rust: 1.13s)
[2025-10-11 09:27:20] Progress: 240/2730 (8.8%) | Rate: 1.05 sims/sec | ETA: 39.7 min | Last: Principal+Interest HV=$1,700,000 LD=30y AD=30y XIRR=N/A (⚡ Rust: 1.64s)
[2025-10-11 09:27:25] Progress: 250/2730 (9.2%) | Rate: 1.06 sims/sec | ETA: 38.9 min | Last: Principal+Interest HV=$1,800,000 LD=10y AD=30y XIRR=N/A (⚡ Rust: 0.63s)
[2025-10-11 09:27:34] Progress: 260/2730 (9.5%) | Rate: 1.07 sims/sec | ETA: 38.6 min | Last: Principal+Interest HV=$1,800,000 LD=20y AD=20y XIRR=N/A (⚡ Rust: 1.14s)
[2025-10-11 09:27:48] Progress: 270/2730 (9.9%) | Rate: 1.05 sims/sec | ETA: 39.1 min | Last: Principal+Interest HV=$1,800,000 LD=30y AD=30y XIRR=N/A (⚡ Rust: 1.64s)
[2025-10-11 09:27:53] Progress: 280/2730 (10.3%) | Rate: 1.06 sims/sec | ETA: 38.4 min | Last: Principal+Interest HV=$1,900,000 LD=10y AD=30y XIRR=N/A (⚡ Rust: 0.62s)
[2025-10-11 09:28:02] Progress: 290/2730 (10.6%) | Rate: 1.07 sims/sec | ETA: 38.1 min | Last: Principal+Interest HV=$1,900,000 LD=20y AD=20y XIRR=N/A (⚡ Rust: 1.11s)
[2025-10-11 09:28:16] Progress: 300/2730 (11.0%) | Rate: 1.05 sims/sec | ETA: 38.5 min | Last: Principal+Interest HV=$1,900,000 LD=30y AD=30y XIRR=N/A (⚡ Rust: 1.68s)
[2025-10-11 09:28:21] Progress: 310/2730 (11.4%) | Rate: 1.07 sims/sec | ETA: 37.9 min | Last: Principal+Interest HV=$2,000,000 LD=10y AD=30y XIRR=N/A (⚡ Rust: 0.56s)
[2025-10-11 09:28:32] Progress: 320/2730 (11.7%) | Rate: 1.06 sims/sec | ETA: 37.9 min | Last: Principal+Interest HV=$2,000,000 LD=20y AD=20y XIRR=N/A (⚡ Rust: 1.10s)
[2025-10-11 09:28:46] Progress: 330/2730 (12.1%) | Rate: 1.05 sims/sec | ETA: 38.3 min | Last: Principal+Interest HV=$2,000,000 LD=30y AD=30y XIRR=N/A (⚡ Rust: 1.61s)
[2025-10-11 09:28:52] Progress: 340/2730 (12.5%) | Rate: 1.06 sims/sec | ETA: 37.6 min | Last: Principal+Interest HV=$2,100,000 LD=10y AD=30y XIRR=N/A (⚡ Rust: 0.55s)
[2025-10-11 09:29:00] Progress: 350/2730 (12.8%) | Rate: 1.06 sims/sec | ETA: 37.4 min | Last: Principal+Interest HV=$2,100,000 LD=20y AD=20y XIRR=N/A (⚡ Rust: 1.09s)
[2025-10-11 09:29:13] Progress: 360/2730 (13.2%) | Rate: 1.05 sims/sec | ETA: 37.6 min | Last: Principal+Interest HV=$2,100,000 LD=30y AD=30y XIRR=N/A (⚡ Rust: 1.58s)
[2025-10-11 09:29:19] Progress: 370/2730 (13.6%) | Rate: 1.06 sims/sec | ETA: 37.0 min | Last: Principal+Interest HV=$2,200,000 LD=10y AD=30y XIRR=N/A (⚡ Rust: 0.54s)
[2025-10-11 09:29:28] Progress: 380/2730 (13.9%) | Rate: 1.06 sims/sec | ETA: 36.8 min | Last: Principal+Interest HV=$2,200,000 LD=20y AD=20y XIRR=N/A (⚡ Rust: 1.07s)
[2025-10-11 09:29:41] Progress: 390/2730 (14.3%) | Rate: 1.05 sims/sec | ETA: 37.0 min | Last: Principal+Interest HV=$2,200,000 LD=30y AD=30y XIRR=N/A (⚡ Rust: 1.60s)
[2025-10-11 09:29:46] Progress: 400/2730 (14.7%) | Rate: 1.06 sims/sec | ETA: 36.5 min | Last: Principal+Interest HV=$2,300,000 LD=10y AD=30y XIRR=N/A (⚡ Rust: 0.55s)
[2025-10-11 09:29:55] Progress: 410/2730 (15.0%) | Rate: 1.07 sims/sec | ETA: 36.3 min | Last: Principal+Interest HV=$2,300,000 LD=20y AD=20y XIRR=N/A (⚡ Rust: 1.09s)
[2025-10-11 09:30:08] Progress: 420/2730 (15.4%) | Rate: 1.06 sims/sec | ETA: 36.5 min | Last: Principal+Interest HV=$2,300,000 LD=30y AD=30y XIRR=N/A (⚡ Rust: 1.69s)
[2025-10-11 09:30:14] Progress: 430/2730 (15.8%) | Rate: 1.07 sims/sec | ETA: 36.0 min | Last: Principal+Interest HV=$2,400,000 LD=10y AD=30y XIRR=N/A (⚡ Rust: 0.54s)
[2025-10-11 09:30:22] Progress: 440/2730 (16.1%) | Rate: 1.07 sims/sec | ETA: 35.7 min | Last: Principal+Interest HV=$2,400,000 LD=20y AD=20y XIRR=N/A (⚡ Rust: 1.06s)
[2025-10-11 09:30:35] Progress: 450/2730 (16.5%) | Rate: 1.06 sims/sec | ETA: 35.9 min | Last: Principal+Interest HV=$2,400,000 LD=30y AD=30y XIRR=N/A (⚡ Rust: 1.59s)
[2025-10-11 09:30:41] Progress: 460/2730 (16.8%) | Rate: 1.07 sims/sec | ETA: 35.4 min | Last: Principal+Interest HV=$2,500,000 LD=10y AD=30y XIRR=N/A (⚡ Rust: 0.54s)
[2025-10-11 09:30:50] Progress: 470/2730 (17.2%) | Rate: 1.07 sims/sec | ETA: 35.2 min | Last: Principal+Interest HV=$2,500,000 LD=20y AD=20y XIRR=N/A (⚡ Rust: 1.07s)
[2025-10-11 09:31:03] Progress: 480/2730 (17.6%) | Rate: 1.06 sims/sec | ETA: 35.3 min | Last: Principal+Interest HV=$2,500,000 LD=30y AD=30y XIRR=N/A (⚡ Rust: 1.63s)
[2025-10-11 09:31:08] Progress: 490/2730 (17.9%) | Rate: 1.07 sims/sec | ETA: 34.9 min | Last: Principal+Interest HV=$2,600,000 LD=10y AD=30y XIRR=N/A (⚡ Rust: 0.57s)
[2025-10-11 09:31:17] Progress: 500/2730 (18.3%) | Rate: 1.07 sims/sec | ETA: 34.7 min | Last: Principal+Interest HV=$2,600,000 LD=20y AD=20y XIRR=N/A (⚡ Rust: 1.07s)
[2025-10-11 09:31:30] Progress: 510/2730 (18.7%) | Rate: 1.06 sims/sec | ETA: 34.8 min | Last: Principal+Interest HV=$2,600,000 LD=30y AD=30y XIRR=N/A (⚡ Rust: 1.60s)
[2025-10-11 09:31:35] Progress: 520/2730 (19.0%) | Rate: 1.07 sims/sec | ETA: 34.4 min | Last: Principal+Interest HV=$2,700,000 LD=10y AD=30y XIRR=N/A (⚡ Rust: 0.54s)
[2025-10-11 09:31:44] Progress: 530/2730 (19.4%) | Rate: 1.07 sims/sec | ETA: 34.2 min | Last: Principal+Interest HV=$2,700,000 LD=20y AD=20y XIRR=N/A (⚡ Rust: 1.08s)
[2025-10-11 09:31:57] Progress: 540/2730 (19.8%) | Rate: 1.07 sims/sec | ETA: 34.2 min | Last: Principal+Interest HV=$2,700,000 LD=30y AD=30y XIRR=N/A (⚡ Rust: 1.60s)
[2025-10-11 09:32:03] Progress: 550/2730 (20.1%) | Rate: 1.07 sims/sec | ETA: 33.9 min | Last: Principal+Interest HV=$2,800,000 LD=10y AD=30y XIRR=N/A (⚡ Rust: 0.53s)
[2025-10-11 09:32:12] Progress: 560/2730 (20.5%) | Rate: 1.07 sims/sec | ETA: 33.7 min | Last: Principal+Interest HV=$2,800,000 LD=20y AD=20y XIRR=N/A (⚡ Rust: 1.07s)
[2025-10-11 09:32:25] Progress: 570/2730 (20.9%) | Rate: 1.07 sims/sec | ETA: 33.8 min | Last: Principal+Interest HV=$2,800,000 LD=30y AD=30y XIRR=N/A (⚡ Rust: 1.60s)
[2025-10-11 09:32:31] Progress: 580/2730 (21.2%) | Rate: 1.07 sims/sec | ETA: 33.4 min | Last: Principal+Interest HV=$2,900,000 LD=10y AD=30y XIRR=N/A (⚡ Rust: 0.54s)
[2025-10-11 09:32:39] Progress: 590/2730 (21.6%) | Rate: 1.07 sims/sec | ETA: 33.2 min | Last: Principal+Interest HV=$2,900,000 LD=20y AD=20y XIRR=N/A (⚡ Rust: 1.08s)
[2025-10-11 09:32:52] Progress: 600/2730 (22.0%) | Rate: 1.07 sims/sec | ETA: 33.2 min | Last: Principal+Interest HV=$2,900,000 LD=30y AD=30y XIRR=N/A (⚡ Rust: 1.69s)
[2025-10-11 09:32:58] Progress: 610/2730 (22.3%) | Rate: 1.07 sims/sec | ETA: 32.9 min | Last: Principal+Interest HV=$3,000,000 LD=10y AD=30y XIRR=N/A (⚡ Rust: 0.60s)
[2025-10-11 09:33:07] Progress: 620/2730 (22.7%) | Rate: 1.08 sims/sec | ETA: 32.7 min | Last: Principal+Interest HV=$3,000,000 LD=20y AD=20y XIRR=N/A (⚡ Rust: 1.07s)
[2025-10-11 09:33:20] Progress: 630/2730 (23.1%) | Rate: 1.07 sims/sec | ETA: 32.7 min | Last: Principal+Interest HV=$3,000,000 LD=30y AD=30y XIRR=N/A (⚡ Rust: 1.61s)
[2025-10-11 09:33:25] Progress: 640/2730 (23.4%) | Rate: 1.08 sims/sec | ETA: 32.4 min | Last: Principal+Interest HV=$3,100,000 LD=10y AD=30y XIRR=N/A (⚡ Rust: 0.56s)
[2025-10-11 09:33:34] Progress: 650/2730 (23.8%) | Rate: 1.08 sims/sec | ETA: 32.2 min | Last: Principal+Interest HV=$3,100,000 LD=20y AD=20y XIRR=N/A (⚡ Rust: 1.06s)
[2025-10-11 09:33:47] Progress: 660/2730 (24.2%) | Rate: 1.07 sims/sec | ETA: 32.2 min | Last: Principal+Interest HV=$3,100,000 LD=30y AD=30y XIRR=N/A (⚡ Rust: 1.65s)
[2025-10-11 09:33:52] Progress: 670/2730 (24.5%) | Rate: 1.08 sims/sec | ETA: 31.9 min | Last: Principal+Interest HV=$3,200,000 LD=10y AD=30y XIRR=N/A (⚡ Rust: 0.54s)
[2025-10-11 09:34:01] Progress: 680/2730 (24.9%) | Rate: 1.08 sims/sec | ETA: 31.7 min | Last: Principal+Interest HV=$3,200,000 LD=20y AD=20y XIRR=N/A (⚡ Rust: 1.07s)
[2025-10-11 09:34:14] Progress: 690/2730 (25.3%) | Rate: 1.07 sims/sec | ETA: 31.7 min | Last: Principal+Interest HV=$3,200,000 LD=30y AD=30y XIRR=N/A (⚡ Rust: 1.59s)
[2025-10-11 09:34:19] Progress: 700/2730 (25.6%) | Rate: 1.08 sims/sec | ETA: 31.4 min | Last: Principal+Interest HV=$3,300,000 LD=10y AD=30y XIRR=N/A (⚡ Rust: 0.55s)
[2025-10-11 09:34:28] Progress: 710/2730 (26.0%) | Rate: 1.08 sims/sec | ETA: 31.2 min | Last: Principal+Interest HV=$3,300,000 LD=20y AD=20y XIRR=N/A (⚡ Rust: 1.08s)
[2025-10-11 09:34:41] Progress: 720/2730 (26.4%) | Rate: 1.07 sims/sec | ETA: 31.2 min | Last: Principal+Interest HV=$3,300,000 LD=30y AD=30y XIRR=N/A (⚡ Rust: 1.60s)
[2025-10-11 09:34:47] Progress: 730/2730 (26.7%) | Rate: 1.08 sims/sec | ETA: 30.9 min | Last: Principal+Interest HV=$3,400,000 LD=10y AD=30y XIRR=N/A (⚡ Rust: 0.53s)
[2025-10-11 09:34:55] Progress: 740/2730 (27.1%) | Rate: 1.08 sims/sec | ETA: 30.7 min | Last: Principal+Interest HV=$3,400,000 LD=20y AD=20y XIRR=N/A (⚡ Rust: 1.12s)
[2025-10-11 09:35:08] Progress: 750/2730 (27.5%) | Rate: 1.07 sims/sec | ETA: 30.7 min | Last: Principal+Interest HV=$3,400,000 LD=30y AD=30y XIRR=N/A (⚡ Rust: 1.62s)
[2025-10-11 09:35:14] Progress: 760/2730 (27.8%) | Rate: 1.08 sims/sec | ETA: 30.4 min | Last: Principal+Interest HV=$3,500,000 LD=10y AD=30y XIRR=N/A (⚡ Rust: 0.54s)
[2025-10-11 09:35:24] Progress: 770/2730 (28.2%) | Rate: 1.08 sims/sec | ETA: 30.3 min | Last: Principal+Interest HV=$3,500,000 LD=20y AD=20y XIRR=N/A (⚡ Rust: 1.14s)
[2025-10-11 09:35:37] Progress: 780/2730 (28.6%) | Rate: 1.07 sims/sec | ETA: 30.3 min | Last: Principal+Interest HV=$3,500,000 LD=30y AD=30y XIRR=N/A (⚡ Rust: 1.70s)
[2025-10-11 09:35:43] Progress: 790/2730 (28.9%) | Rate: 1.08 sims/sec | ETA: 30.0 min | Last: Principal+Interest HV=$3,600,000 LD=10y AD=30y XIRR=N/A (⚡ Rust: 0.55s)
[2025-10-11 09:35:52] Progress: 800/2730 (29.3%) | Rate: 1.08 sims/sec | ETA: 29.8 min | Last: Principal+Interest HV=$3,600,000 LD=20y AD=20y XIRR=N/A (⚡ Rust: 1.13s)
[2025-10-11 09:36:05] Progress: 810/2730 (29.7%) | Rate: 1.07 sims/sec | ETA: 29.8 min | Last: Principal+Interest HV=$3,600,000 LD=30y AD=30y XIRR=N/A (⚡ Rust: 1.68s)
[2025-10-11 09:36:11] Progress: 820/2730 (30.0%) | Rate: 1.08 sims/sec | ETA: 29.5 min | Last: Principal+Interest HV=$3,700,000 LD=10y AD=30y XIRR=N/A (⚡ Rust: 0.55s)
[2025-10-11 09:36:21] Progress: 830/2730 (30.4%) | Rate: 1.08 sims/sec | ETA: 29.4 min | Last: Principal+Interest HV=$3,700,000 LD=20y AD=20y XIRR=N/A (⚡ Rust: 1.10s)
[2025-10-11 09:36:35] Progress: 840/2730 (30.8%) | Rate: 1.07 sims/sec | ETA: 29.4 min | Last: Principal+Interest HV=$3,700,000 LD=30y AD=30y XIRR=N/A (⚡ Rust: 1.64s)
[2025-10-11 09:36:40] Progress: 850/2730 (31.1%) | Rate: 1.08 sims/sec | ETA: 29.1 min | Last: Principal+Interest HV=$3,800,000 LD=10y AD=30y XIRR=N/A (⚡ Rust: 0.57s)
[2025-10-11 09:36:50] Progress: 860/2730 (31.5%) | Rate: 1.08 sims/sec | ETA: 29.0 min | Last: Principal+Interest HV=$3,800,000 LD=20y AD=20y XIRR=N/A (⚡ Rust: 1.11s)
[2025-10-11 09:37:04] Progress: 870/2730 (31.9%) | Rate: 1.07 sims/sec | ETA: 29.0 min | Last: Principal+Interest HV=$3,800,000 LD=30y AD=30y XIRR=N/A (⚡ Rust: 1.68s)
[2025-10-11 09:37:09] Progress: 880/2730 (32.2%) | Rate: 1.07 sims/sec | ETA: 28.7 min | Last: Principal+Interest HV=$3,900,000 LD=10y AD=30y XIRR=N/A (⚡ Rust: 0.55s)
[2025-10-11 09:37:18] Progress: 890/2730 (32.6%) | Rate: 1.08 sims/sec | ETA: 28.5 min | Last: Principal+Interest HV=$3,900,000 LD=20y AD=20y XIRR=N/A (⚡ Rust: 1.10s)
[2025-10-11 09:37:32] Progress: 900/2730 (33.0%) | Rate: 1.07 sims/sec | ETA: 28.5 min | Last: Principal+Interest HV=$3,900,000 LD=30y AD=30y XIRR=N/A (⚡ Rust: 1.66s)
[2025-10-11 09:37:37] Progress: 910/2730 (33.3%) | Rate: 1.07 sims/sec | ETA: 28.2 min | Last: Principal+Interest HV=$4,000,000 LD=10y AD=30y XIRR=N/A (⚡ Rust: 0.59s)
[2025-10-11 09:37:47] Progress: 920/2730 (33.7%) | Rate: 1.07 sims/sec | ETA: 28.1 min | Last: Principal+Interest HV=$4,000,000 LD=20y AD=20y XIRR=N/A (⚡ Rust: 1.40s)
[2025-10-11 09:38:00] Progress: 930/2730 (34.1%) | Rate: 1.07 sims/sec | ETA: 28.1 min | Last: Principal+Interest HV=$4,000,000 LD=30y AD=30y XIRR=N/A (⚡ Rust: 1.73s)
[2025-10-11 09:38:06] Progress: 940/2730 (34.4%) | Rate: 1.07 sims/sec | ETA: 27.8 min | Last: Principal+Interest HV=$4,100,000 LD=10y AD=30y XIRR=N/A (⚡ Rust: 0.55s)
[2025-10-11 09:38:16] Progress: 950/2730 (34.8%) | Rate: 1.07 sims/sec | ETA: 27.6 min | Last: Principal+Interest HV=$4,100,000 LD=20y AD=20y XIRR=N/A (⚡ Rust: 1.13s)
[2025-10-11 09:38:29] Progress: 960/2730 (35.2%) | Rate: 1.07 sims/sec | ETA: 27.6 min | Last: Principal+Interest HV=$4,100,000 LD=30y AD=30y XIRR=N/A (⚡ Rust: 1.67s)
[2025-10-11 09:38:35] Progress: 970/2730 (35.5%) | Rate: 1.07 sims/sec | ETA: 27.3 min | Last: Principal+Interest HV=$4,200,000 LD=10y AD=30y XIRR=N/A (⚡ Rust: 0.56s)
[2025-10-11 09:38:44] Progress: 980/2730 (35.9%) | Rate: 1.07 sims/sec | ETA: 27.2 min | Last: Principal+Interest HV=$4,200,000 LD=20y AD=20y XIRR=N/A (⚡ Rust: 1.09s)
[2025-10-11 09:38:57] Progress: 990/2730 (36.3%) | Rate: 1.07 sims/sec | ETA: 27.1 min | Last: Principal+Interest HV=$4,200,000 LD=30y AD=30y XIRR=N/A (⚡ Rust: 1.64s)
[2025-10-11 09:39:03] Progress: 1000/2730 (36.6%) | Rate: 1.07 sims/sec | ETA: 26.9 min | Last: Principal+Interest HV=$4,300,000 LD=10y AD=30y XIRR=N/A (⚡ Rust: 0.55s)
[2025-10-11 09:39:12] Progress: 1010/2730 (37.0%) | Rate: 1.07 sims/sec | ETA: 26.7 min | Last: Principal+Interest HV=$4,300,000 LD=20y AD=20y XIRR=N/A (⚡ Rust: 1.08s)
[2025-10-11 09:39:24] Progress: 1020/2730 (37.4%) | Rate: 1.07 sims/sec | ETA: 26.7 min | Last: Principal+Interest HV=$4,300,000 LD=30y AD=30y XIRR=N/A (⚡ Rust: 1.58s)
[2025-10-11 09:39:30] Progress: 1030/2730 (37.7%) | Rate: 1.07 sims/sec | ETA: 26.4 min | Last: Principal+Interest HV=$4,400,000 LD=10y AD=30y XIRR=N/A (⚡ Rust: 0.53s)
[2025-10-11 09:39:39] Progress: 1040/2730 (38.1%) | Rate: 1.07 sims/sec | ETA: 26.2 min | Last: Principal+Interest HV=$4,400,000 LD=20y AD=20y XIRR=N/A (⚡ Rust: 1.09s)
[2025-10-11 09:39:52] Progress: 1050/2730 (38.5%) | Rate: 1.07 sims/sec | ETA: 26.2 min | Last: Principal+Interest HV=$4,400,000 LD=30y AD=30y XIRR=N/A (⚡ Rust: 1.67s)
[2025-10-11 09:39:57] Progress: 1060/2730 (38.8%) | Rate: 1.07 sims/sec | ETA: 25.9 min | Last: Principal+Interest HV=$4,500,000 LD=10y AD=30y XIRR=N/A (⚡ Rust: 0.53s)
[2025-10-11 09:40:06] Progress: 1070/2730 (39.2%) | Rate: 1.07 sims/sec | ETA: 25.7 min | Last: Principal+Interest HV=$4,500,000 LD=20y AD=20y XIRR=N/A (⚡ Rust: 1.06s)
[2025-10-11 09:40:19] Progress: 1080/2730 (39.6%) | Rate: 1.07 sims/sec | ETA: 25.7 min | Last: Principal+Interest HV=$4,500,000 LD=30y AD=30y XIRR=N/A (⚡ Rust: 1.74s)
[2025-10-11 09:40:25] Progress: 1090/2730 (39.9%) | Rate: 1.07 sims/sec | ETA: 25.4 min | Last: Principal+Interest HV=$4,600,000 LD=10y AD=30y XIRR=N/A (⚡ Rust: 0.56s)
[2025-10-11 09:40:34] Progress: 1100/2730 (40.3%) | Rate: 1.07 sims/sec | ETA: 25.3 min | Last: Principal+Interest HV=$4,600,000 LD=20y AD=20y XIRR=N/A (⚡ Rust: 1.09s)
[2025-10-11 09:40:47] Progress: 1110/2730 (40.7%) | Rate: 1.07 sims/sec | ETA: 25.2 min | Last: Principal+Interest HV=$4,600,000 LD=30y AD=30y XIRR=N/A (⚡ Rust: 1.64s)
[2025-10-11 09:40:53] Progress: 1120/2730 (41.0%) | Rate: 1.07 sims/sec | ETA: 25.0 min | Last: Principal+Interest HV=$4,700,000 LD=10y AD=30y XIRR=N/A (⚡ Rust: 0.63s)
[2025-10-11 09:41:02] Progress: 1130/2730 (41.4%) | Rate: 1.07 sims/sec | ETA: 24.8 min | Last: Principal+Interest HV=$4,700,000 LD=20y AD=20y XIRR=N/A (⚡ Rust: 1.11s)
[2025-10-11 09:41:15] Progress: 1140/2730 (41.8%) | Rate: 1.07 sims/sec | ETA: 24.8 min | Last: Principal+Interest HV=$4,700,000 LD=30y AD=30y XIRR=N/A (⚡ Rust: 1.64s)
[2025-10-11 09:41:21] Progress: 1150/2730 (42.1%) | Rate: 1.07 sims/sec | ETA: 24.5 min | Last: Principal+Interest HV=$4,800,000 LD=10y AD=30y XIRR=N/A (⚡ Rust: 0.55s)
[2025-10-11 09:41:30] Progress: 1160/2730 (42.5%) | Rate: 1.07 sims/sec | ETA: 24.4 min | Last: Principal+Interest HV=$4,800,000 LD=20y AD=20y XIRR=N/A (⚡ Rust: 1.12s)
[2025-10-11 09:41:43] Progress: 1170/2730 (42.9%) | Rate: 1.07 sims/sec | ETA: 24.3 min | Last: Principal+Interest HV=$4,800,000 LD=30y AD=30y XIRR=N/A (⚡ Rust: 1.67s)
[2025-10-11 09:41:49] Progress: 1180/2730 (43.2%) | Rate: 1.07 sims/sec | ETA: 24.1 min | Last: Principal+Interest HV=$4,900,000 LD=10y AD=30y XIRR=N/A (⚡ Rust: 0.56s)
[2025-10-11 09:41:58] Progress: 1190/2730 (43.6%) | Rate: 1.07 sims/sec | ETA: 23.9 min | Last: Principal+Interest HV=$4,900,000 LD=20y AD=20y XIRR=N/A (⚡ Rust: 1.10s)
[2025-10-11 09:42:13] Progress: 1200/2730 (44.0%) | Rate: 1.07 sims/sec | ETA: 23.8 min | Last: Principal+Interest HV=$4,900,000 LD=30y AD=30y XIRR=N/A (⚡ Rust: 1.65s)
[2025-10-11 09:42:18] Progress: 1210/2730 (44.3%) | Rate: 1.07 sims/sec | ETA: 23.6 min | Last: Principal+Interest HV=$5,000,000 LD=10y AD=30y XIRR=N/A (⚡ Rust: 0.55s)
