,,,,,,,,,,,,,,,,,,,
,S&P 500,FORMULA: =C12,"FORMULA: =C16*(1+_xlfn.NORM.INV(RAND(),$C$3,$C$5))+$C$4*(C1","FORMULA: =D16*(1+_xlfn.NORM.INV(RAND(),$C$3,$C$5))+$C$4*(D1","FORMULA: =E16*(1+_xlfn.NORM.INV(RAND(),$C$3,$C$5))+$C$4*(E1","FORMULA: =F16*(1+_xlfn.NORM.INV(RAND(),$C$3,$C$5))+$C$4*(F1","FORMULA: =G16*(1+_xlfn.NORM.INV(RAND(),$C$3,$C$5))+$C$4*(G1","FORMULA: =H16*(1+_xlfn.NORM.INV(RAND(),$C$3,$C$5))+$C$4*(H1","FORMULA: =I16*(1+_xlfn.NORM.INV(RAND(),$C$3,$C$5))+$C$4*(I1","FORMULA: =J16*(1+_xlfn.NORM.INV(RAND(),$C$3,$C$5))+$C$4*(J1","FORMULA: =K16*(1+_xlfn.NORM.INV(RAND(),$C$3,$C$5))+$C$4*(K1","FORMULA: =L16*(1+_xlfn.NORM.INV(RAND(),$C$3,$C$5))+$C$4*(L1","FORMULA: =M16*(1+_xlfn.NORM.INV(RAND(),$C$3,$C$5))+$C$4*(M1","FORMULA: =N16*(1+_xlfn.NORM.INV(RAND(),$C$3,$C$5))+$C$4*(N1","FORMULA: =O16*(1+_xlfn.NORM.INV(RAND(),$C$3,$C$5))+$C$4*(O1","FORMULA: =P16*(1+_xlfn.NORM.INV(RAND(),$C$3,$C$5))+$C$4*(P1","FORMULA: =Q16*(1+_xlfn.NORM.INV(RAND(),$C$3,$C$5))+$C$4*(Q1","FORMULA: =R16*(1+_xlfn.NORM.INV(RAND(),$C$3,$C$5))+$C$4*(R1","FORMULA: =S16*(1+_xlfn.NORM.INV(RAND(),$C$3,$C$5))+$C$4*(S1"
,,100,92.56182712057968,103.76723643181117,105.35771190542374,132.42326158077407,149.2525565225027,159.04635888645674,141.80542247260735,190.26953506482948,240.3716369785663,303.4490108542631,362.0973632735674,331.51363626931584,354.0584966857234,396.265308344146,423.01291258797187,484.5577808163189,485.24744381380555
,,100,118.14121947131369,123.06889511971184,138.23186436491153,184.81970986425415,212.69914963956995,198.0411616885328,198.94018444589256,176.4080772554692,200.45364172876907,244.78328287953426,254.3253623583874,310.6220260101105,372.7546904876546,405.60049807405505,528.045020765909,514.3871933412618,584.0594894483323
,,100,117.00015968860914,148.15898073384932,175.8068826475108,144.2598659213184,139.19330063135314,143.35508009601193,185.3294511659792,206.26039090161032,254.37337472225283,263.932726116964,274.00251225864827,270.34078652529445,311.7856305869923,372.0238955189216,436.9772503100887,410.1297180279952,516.3706136673032
,,100,132.49673774376984,122.2418694863695,122.04148566292552,112.95709336142829,147.4396963051452,183.17581699945595,214.7650786368414,233.77647959739426,294.48876287177785,293.00735871890004,224.58840261007958,285.50468649018524,320.4470703477068,367.0300005877066,353.63229298996146,407.430753854316,511.8803335540293
,,100,106.75592659233237,96.05405971873219,116.13273103338297,143.12718164226735,182.5916168319655,164.93240923312382,204.62093940233947,198.2868839056541,230.48337163886436,278.0979859523409,239.76741590773554,290.2401963977779,323.1082223967097,429.80010587817054,450.1446243622983,498.86520046248995,463.63414383646455
,,100,119.57871184525881,115.3035427064434,138.299590011787,170.08986841769158,193.18993276749916,206.95598815252308,217.91552358358695,236.36844374739314,248.08577206903584,254.08749940105855,293.3147887258748,315.8570108954301,311.3794611268346,344.0921158346663,404.5878463364347,426.9969002924829,512.6638897977044
,,100,130.49057944858492,134.13250242334294,100.36464948739062,120.6172284574539,144.3090879522591,197.7902888764276,169.2815395623145,196.4838822176029,237.46376827795638,229.67442494999963,289.7909073460792,306.48770168898955,294.08076513465375,340.5884108659652,402.2003337372946,496.4332162330792,534.9089212600097
,,100,109.92742246230927,115.81054123667252,126.4697392356695,143.56329168933257,154.8219423370341,208.61499005388876,193.50803792892407,163.47336393301538,212.58854289070888,308.70446761123463,330.9164494466046,386.89035918640974,374.28031171814973,370.1595711539927,364.77292402113324,448.25121694529355,508.13755951354057
,,100,115.86125169534263,130.65184156729026,143.99757910148725,145.62273211280456,150.05534910469785,172.73259914054427,216.26758733325408,220.59956717378236,210.9841134728751,228.83430456593686,261.60697998001046,314.3047627677918,315.65154046674036,383.45254458592444,486.0674474553007,518.0429887883392,568.6574308835333
,,100,115.44931874549826,111.41299556438014,119.20462639845115,142.22331577206208,156.2610824781146,126.43500877125115,145.95960290481827,181.70339273793144,225.18773076895343,259.00407172735083,233.77342884575296,268.8673630738815,358.86336822761615,396.03580908814536,422.0631891969625,426.8337256505681,601.3226575694681
,,100,119.12682922908489,125.2377000644554,161.45598412589345,190.7214484565476,178.34645985261457,233.58367945273739,226.21176590644706,193.9100712669727,234.28357220539726,226.43449579776512,244.6570815043544,281.85609623044513,334.89750681724547,314.493300676326,331.41582786715554,404.5335165783716,459.28142061044866
,,100,114.09700717419626,126.38016426001182,149.414419418949,153.05298639964425,176.94656779092293,210.02811930699983,212.27912268474955,274.4153422874848,268.8057936308101,265.05671082952244,328.22827606717374,348.055093428742,369.2376054656455,436.9035649076376,520.9563380256358,564.6384219328252,573.60941933198
,,100,115.6592018581148,137.9481298171338,133.15111024169357,130.26800636933683,158.64812120937913,196.48653204249797,219.92163883960154,252.6097874457193,317.9705894727278,331.41205034868824,384.39992094138495,331.3407064607694,324.1163129375715,407.1496709947446,398.61294765415266,470.15658384822837,514.0728217695661
,,100,104.23109511206864,126.09774685302018,146.55169415550682,143.15476912995155,156.0836951458304,140.48482886103986,168.98680929625255,190.05349436686686,195.81100717952717,231.49380716808363,265.40349311440093,275.9357177164561,268.9310243631087,371.4482972548166,468.88647775719136,523.6135807454464,486.5612400172805
,,100,112.1757693064972,156.30566230895766,148.29197117011245,160.14519267800523,156.0984126890371,154.36834824107555,150.35523799109083,195.1410321260246,203.8950497531713,268.2690049006524,279.9860064455676,292.40093910183464,342.8443787449184,375.0626727825254,462.8537735782895,425.4427314791459,529.9313213873902
,,100,102.05705764542954,113.57198655227278,155.07051455847895,175.30488311422147,185.88956840961956,164.21318582747824,170.88548236884418,174.18675968859105,184.22073588477627,223.34073372240252,292.00342248429246,274.9004495359143,338.1660957994268,455.75908013264274,538.6275044236859,605.0674681484903,702.6455850201039
,,100,104.53213612832756,103.85918523707011,101.95856166501062,126.10971557797133,159.729944347181,174.0533393345389,180.194205957362,195.90892248811713,209.23713323709154,297.9448720806834,363.64474667890454,333.19021480394775,419.7195362992876,470.2271373228727,359.74967633708593,519.8921117843125,524.1189224394559
,,100,122.29014214922498,139.0237371083601,151.29701284463593,170.4694800168759,212.3602382862038,256.11541488257063,275.3575310705788,233.57958551088274,238.14102420299912,251.0152185964566,271.50045103110386,326.2426870074453,341.82887684468517,371.1745383089398,427.2653310734809,439.29959390281317,447.06622401231056
,,100,106.17033443420209,124.78298857945316,163.9321511869955,130.9517774609144,168.56268745506756,174.14614604192434,214.537819310825,221.212296632873,241.13412904973723,298.892622759182,354.9153869480351,365.73201488978776,412.6380766650218,474.7302183147953,447.98373059217795,382.2361254929983,475.41435482992114
,,100,110.68964887048539,119.73161781448358,105.75763062537996,122.80613896415831,131.13215467450738,167.7166634688716,184.75497457869093,214.72824933833792,254.591783962132,329.986956081773,322.914203414188,351.7163673051797,423.9321287787715,416.68487251359124,396.7519492247518,415.5778168404753,525.287666578367
,,100,105.9408716629025,101.27081346375809,115.81562473986146,141.73739461460622,180.50350528278878,193.4825006480367,225.16655684067365,202.69017481269395,251.72648149488367,311.7845966368208,249.34866489165938,286.9198275616452,296.13178720312584,359.6875437768608,362.22114611167297,427.972685650464,476.02866947783036
,,100,114.94043446402742,116.29400070328288,132.73302708715406,126.25737399576701,165.30348574942485,187.18166833968175,206.13106939222652,204.07901485761792,213.1702787510068,323.25986634657227,322.3444864752282,374.96011843098853,447.7545581480847,426.7972811683284,408.69519188802644,459.22395277797114,434.50109305215864
,,100,100.15627401225625,111.07536084321008,119.98619670169364,122.26385595002412,127.88256830751284,156.4496636145975,180.6602631952503,232.28932747798274,245.39876373188952,319.12628914358015,285.4508791728115,337.33589492504973,413.38600362404236,406.55679008071735,461.88546646401716,411.4310785996082,507.53463967720194
,,100,94.58174220084109,115.3250344403242,121.24884672379561,149.1617024044352,150.88777935782883,192.66791378890818,167.0940608238181,194.6489533296588,209.98375214589225,266.5360897176256,260.7588232537495,247.50742625054633,353.9141667263617,409.95901204462984,394.23294929513827,476.2234390346606,448.9270751843943
,,100,112.59141632931373,111.63749574332442,125.5108208152691,140.25641653978306,176.13138205691982,188.21901812391957,210.96096392916417,232.2674541421008,216.839729940211,245.98897839283086,228.56142608336526,246.88311918335046,301.2653804440607,315.0461123760138,345.840716328132,392.3089954461758,431.21221404380145
,,100,121.42594289791595,111.81048876662652,107.92004026259049,122.98810432436582,138.7819884366681,159.57181576361734,188.0999173202947,165.77187726206995,212.9998835841239,267.47340635542673,257.6045212307763,290.0061742418334,355.0791223946614,345.64793002696535,386.7510027812807,479.80145105270606,506.3646630040453
,,100,129.28513188341873,131.87822091872485,129.26921619822977,161.29791600058485,191.53765530546895,166.58178576228107,190.93452120970437,192.52755455444276,194.7205001455299,214.9623296327367,280.34814215556304,341.79900195932214,263.9507717114148,326.8131269821654,419.97023949250274,446.1666839274062,494.66706557077094
,,100,106.4372893359884,116.76721416609922,107.82483564683831,108.87851117039045,151.15775433777702,195.73966744593892,160.42668609440204,179.69008619792623,254.2067107559041,247.7805277089118,250.94341977897557,295.3346511640878,380.2723136799302,319.06174318778415,404.7869429331945,488.267333414923,520.7503731716306
,,100,122.66157013108034,126.64712285939638,139.11005121493568,126.97269028928494,124.34470794029616,152.59890945791273,204.04766998257384,228.30436762588226,221.293455115379,234.3013898212514,284.237958934163,324.1744517646096,444.51893488692895,383.7461244161194,376.96871431249247,430.44902665511245,498.9625116199391
,,100,107.28071667620615,117.19068536458465,157.52890244946371,141.3224156721746,150.8183831761398,163.97004541024666,230.13191981419106,191.12778388556296,231.21389134150905,257.03747702718755,282.924316566552,295.68949648140017,385.6245088148078,449.61258959540726,389.31368554348717,486.0443952851314,547.3251258917653
,,100,100.26953716649342,99.9647610940064,121.0579354949644,126.86494127854108,171.24582758890975,142.68635692924244,175.77704297344638,182.02133331869834,264.77789033086526,292.44428893545853,303.37905305932804,260.137950301756,286.13748056513805,359.1028185803004,389.9892274170021,418.66738245051613,544.9942032986319
,,100,95.21088942818074,99.73319471999267,127.4300586357509,139.550691304684,147.15888442660898,140.09484763516167,176.73689117531484,257.8193880738725,228.731925376957,234.95338046802073,307.89091456719683,308.1024090281877,320.21153177726427,385.04468235299896,452.5424766948148,468.8397979755208,506.8542820198385
,,100,121.94404611831133,133.6855263049021,113.67435632249217,117.4337499337386,115.53448763020499,167.1531916860873,196.9805373088368,198.3581537515256,188.95745770320156,241.65849633988134,263.86508184176967,276.5760412060556,268.1520901997387,349.05990312176965,409.4913765659496,520.7395502392835,602.8202191936309
,,100,88.43466073825365,119.76058295390717,123.36331791990042,138.33391974811596,155.9978731645462,192.72640763133862,219.66979865805203,216.8033667315151,234.95444630640043,308.7076970003792,416.5663926167663,381.2758216319001,364.39710019624977,309.1533324217485,334.2754697030805,401.3137429075473,462.5315205213072
,,100,100.23783042352319,117.04051166027136,130.47311266536178,128.88516546113073,144.55531294921778,156.73793894174207,170.4777895409203,186.20138415833742,189.64694880864675,210.06690024239288,249.53777276465485,311.8952157032106,389.9707247732919,375.63662797276345,485.2782196895498,564.5423598236652,661.8068601549196
,,100,102.36796007371711,114.86452884322742,103.02397138971419,153.45016319687954,148.3415361939098,135.31082594534945,166.2234870737824,166.1387749874619,204.9125119762598,251.012111208752,267.3856915091585,306.4939149635623,429.8773228683367,446.5725998686432,468.9022496419373,537.3972244287622,633.5739181987793
,,100,98.77322907997595,111.05471338259395,118.26551156822134,146.60814833684483,206.61300350825059,243.61057894256257,256.2402768872235,230.51749669890154,224.85073312679776,266.36095568158703,330.7693480998372,274.58928805317004,323.2890078685564,363.72166858418865,433.8934701581364,469.31982938534907,571.7999748852213
,,100,97.64972326830929,122.8338188051365,117.8875675358234,119.91575492600631,147.16747356166815,142.7041311922161,174.27101764783197,197.38015667391466,261.5745578565949,297.07263488647664,299.5364285845818,329.1844380496202,266.905187009703,317.61253693114924,370.20369618726795,358.220971252807,427.6625580506575
,,100,119.39380741671776,110.35310906949654,121.213942932788,119.36041870337118,120.00784638189256,140.88951420337105,198.80102555951078,221.41008934693275,240.24460514244782,243.32331390994796,260.72957501194,300.9267879713246,406.34410088006814,477.2400405792026,461.0586635195549,489.98447969847905,455.78530803540343
,,100,105.15645108331613,124.89962072345288,122.78971295721706,123.35134368440211,172.5162942234968,211.07643444343492,217.66162045221952,214.4220700002203,245.8105114913165,239.37523066372339,243.0125610389539,273.0357410157419,331.8332456457162,355.5044174159208,418.21245999770974,522.6055557811823,508.0427822847461
,,100,109.14767588648706,129.1373233014532,161.15680858251181,152.56529341407025,170.2028111367192,202.41140746482478,210.00927787471244,210.05770428289424,231.3997382178381,215.13552273340082,270.3136019784603,279.383948972904,295.96687564389026,374.7731214417084,525.6668176498663,515.4555121249323,595.070986947488
,,100,119.5016420067422,122.98161200986456,152.5559887026707,129.62361110452275,127.27252098260755,173.26800019101051,220.4884302120306,233.65617085904591,250.60371130661912,220.02888419536185,261.8491330489105,259.9073767169141,317.1595720576135,368.39630244780653,404.94710812697474,388.3216762274127,477.0574777384373
,,100,108.16841265228663,139.85652261932447,112.35168238810371,146.7370227660325,156.85617382525157,185.39462632985203,208.48351297896033,212.11840316426537,250.95710292304722,271.3302633785778,282.2601060150515,329.73434274490603,315.73630718876024,303.14537010356435,351.3523567904027,435.1049220960821,445.1477526265853
,,100,121.09586127786139,141.38654596275106,119.20731386503138,115.52334697918654,134.0952761161311,179.47758320437987,161.6793339720159,191.5330556686988,192.34246935592438,195.39190323676445,255.1826626493606,223.15348738735003,273.71220636322323,286.7858272535142,331.654972671529,422.85065079632943,459.6701113305435
,,100,134.99101867361665,158.05350901542488,161.53325170933613,161.52600566538644,168.08828841500184,178.07904872626779,205.00184408406437,252.91045058712768,240.67760490736833,206.69744717045995,263.4954405938032,311.6293088899918,322.65594038518554,338.99546539437296,419.129652589384,396.2342155662849,458.49239073335906
,,100,103.51170971335276,101.42928681903322,152.79620174796366,160.48474445187793,177.19728745930655,181.40519593292169,197.69223074040065,182.3605049750106,236.29614788575861,240.61273280948126,275.78776424531895,327.9374289575111,336.62424727451315,423.8311635137901,443.20346996781143,554.7111550155877,465.10315385805205
,,100,117.6509246771707,126.61187559967019,160.9551955561141,161.66361167697553,149.16676556742277,163.29298537005508,208.0297282935884,255.08588192509887,288.8335570419671,340.27425058752783,353.134303642663,334.13169902219624,373.02636172444585,396.67755032569676,491.21382301311235,400.4989802170518,375.5917982590132
,,100,123.36799576329001,127.25177431597946,156.69511361938962,142.06976246014474,174.92070160825125,154.25418555658666,168.6126715904855,217.71444783249996,258.07013057179853,361.4466565880136,340.3223242188994,339.30034004417496,387.41296571127384,362.6523486404806,437.8367318517795,496.90566725723806,538.2610267339642
,,100,139.13050545989768,170.57409112896335,159.08694031647525,145.79984450975002,179.00840440801957,252.67154475086545,258.0755484089647,221.73327523703875,248.70402039149525,270.8869278822273,306.9952795613556,336.00311773106176,355.3277040842629,366.61387261288155,419.1724978319337,519.7158078014107,617.3747100827234
,,100,106.642414553287,110.32141660869695,98.65601881466682,108.19897273217221,159.61489376042442,212.8977800092506,257.34140386286515,250.8711944946079,319.0091688477653,312.4373931644782,253.1385028399383,305.875263307693,337.80608040369447,432.55835633588197,498.1444107134072,511.5781074803715,523.65106337995
,,100,113.00754293338629,116.51543172588731,138.69704954783424,138.4205102308311,184.5025277595434,184.60469232655285,180.49236185965134,214.0848032704588,233.9990968088884,278.6798570099874,334.96107935945815,317.4078429510615,409.89430569547784,424.45947044368233,454.63209187563007,488.27686596953447,563.280141522335
,,100,125.42078417596984,138.1365774062358,137.9222531257762,141.90321335202782,164.54580195301511,181.50869140305804,200.50289458735278,212.33663000132867,261.1523989640762,274.02012420679915,304.4411987153422,380.3216202356633,413.05498001665774,392.8349363665595,466.75219244282914,481.48283421988333,518.5465732474472
,,100,115.93573857497641,112.88567162498394,137.43834042922492,147.19737873342063,158.87054105570095,204.5192536244532,249.32985135623528,224.5562283453001,183.6660903612547,232.46337166158168,268.95496560856543,321.72063421201403,335.6914519188446,367.6993322906146,382.5253302956322,445.61807518633566,511.9691714818799
,,100,111.61592662880963,152.05644989833687,176.09768574104623,156.61145709556416,166.7548399358161,184.3025834362484,202.8707046879339,209.68746330367162,223.18264646054485,253.2572160938307,326.4983479200063,376.5585938728981,459.12568669064495,511.5735614358118,395.9877089160251,445.321437624493,543.7984878132654
,,100,129.43488601889652,142.37368332214953,142.94431766278046,155.95679343978662,188.26566242803358,228.25084521866447,192.56994941131344,200.8590933204013,272.3215240587899,263.9325277699779,294.6848215764577,320.4314798220447,376.2462858671617,420.6261529526564,356.6325805898979,362.21492916171746,477.90429543720677
,,100,119.51910038594914,132.62205820007543,116.31398554747918,144.09702612088853,167.30058850912425,184.61469304198368,235.97947331048636,227.3451383216618,272.2164646022212,293.2254768575401,252.04816854383327,251.0314836548356,297.5855903070598,314.9622595906509,400.84256927359684,448.5026835672935,577.9656334077677
,,100,104.38692569646426,109.63929922692361,142.9506899966549,169.30884175580303,199.8847279688419,179.8506436944121,263.0490844476802,231.15689539295983,278.277996727019,238.47579641839974,293.50313654036705,305.5146730854067,350.16046382899185,439.2837890708553,360.1892831635362,402.9603432966986,519.0882764748662
,,100,102.44847998731143,109.87231071850994,125.23233671013504,121.76530867943447,171.86439456726907,231.6225354706486,197.21886991727422,216.24452244530733,238.27468793486867,276.54695490944846,321.98585000559126,345.02514668747546,393.19190998164777,388.6689962184126,402.6656187874037,407.50673653581885,483.3303156145277
,,100,115.45034026920213,129.35342391397273,136.63957303970545,142.59100741749086,134.04155874573235,140.20966661426522,175.1733246065296,213.5778321791912,198.6683967550269,217.928237578106,275.4439417727951,326.01965050324895,373.42161618605974,387.0366101012336,472.11843849518766,332.5891182259927,432.5624661058322
,,100,91.22315415942494,110.57526664627662,128.98877981640737,155.1832979417165,178.68249252195673,157.54874472311246,159.569895886528,190.22054720216,207.01328487197475,217.60801999465312,325.50574106895584,381.6946050030174,324.11318412451567,376.86968349511164,340.6217656512715,411.3794925125429,455.20157796057924
,,100,120.28401200199129,119.07657080640259,119.54367121603485,131.26377180684835,155.13799884509052,163.93013399899343,162.3162445279902,205.86429001238446,241.42635759448893,250.2545457726746,295.5538331177667,359.09523137490237,342.7732835237773,390.7247383962271,493.43663247285286,485.75306217809253,584.9838478712056
,,100,107.56195889381223,142.8171702468492,148.7004718451897,149.18796851915226,145.18383239755278,175.91638380035238,202.97094164502113,238.63600643947154,208.9342285655381,233.14082082766677,247.20304559451233,303.7842609313836,376.3996066703486,440.4023029426486,410.5506869595806,445.6465426707722,407.13489967267196
,,100,115.2622358404484,119.98256944155756,132.00356598796566,130.83618842943133,164.1418935123929,154.2063072786351,174.6628426899885,224.17705210964874,239.24161700198044,303.04575255526026,344.090584949112,381.4474904491703,356.9494567776467,282.568377490856,386.3937932863808,531.7464003649739,540.417894026158
,,100,104.08270052477162,102.53108439954559,115.91669678311735,140.6087537691593,146.52143084709144,150.86244455935733,143.72918679496615,178.104160635815,204.18534716347438,192.398881452533,269.6803835225933,258.2010777606241,319.1262066747955,337.59715324789045,435.094320168576,462.9396744176346,460.9908141588886
,,100,119.10309030202934,122.1869209329948,140.11334817389485,172.71797959977755,173.50105704437723,169.3946119754039,214.07263203035376,245.2408697546951,249.34274321888807,282.0203189725277,292.86286491021275,295.55908879169147,360.6506876061388,359.01567530019145,457.9754098617027,428.9472060797583,374.0778944497932
,,100,113.25221617746355,127.607233777278,121.083090750065,123.34601524267485,155.9715254329129,164.45305148014063,181.75008580738734,201.75024586958483,240.78659275007993,258.04495381407554,301.0129120491151,327.30539077409856,323.45898334053993,332.40697660771207,316.0583238557107,392.014243871051,411.886709019771
,,100,104.65643125401112,94.85814822487183,88.21444892603076,117.89435316172,131.74492765243917,158.59099128576102,188.2429496236559,229.79548462682433,245.2203315801536,249.57509814663172,336.362067888359,359.15276276908696,303.24841348516713,355.1573027620037,471.55963626865173,531.743881679544,541.0559281775779
,,100,95.09447940484831,94.94743025632636,122.96623033275158,120.41137569114733,150.73299401405833,149.75257023620657,206.4077599008727,200.86011558128098,214.7775872607653,255.80716836019502,263.27146448305643,301.77632360768956,397.2832094994084,352.10876453365455,361.8763109100832,502.0120806080107,580.2287478543358
,,100,128.68008286709355,104.665108810206,129.90039037309413,124.96462967408345,145.7096516342944,169.69293034975414,194.79101031386602,238.31162572193114,189.24594009168328,209.0470229523052,296.8382530506958,283.02881663057633,336.95893004791407,343.5529912494668,388.616955310324,380.192510734484,503.6701685299519
,,100,129.8060534963727,142.46402589552886,156.00075992276595,155.7645625850751,182.32671344233125,160.47152412770885,164.24388069842837,232.407903539124,228.95776265803903,265.63823037791053,279.9236149394253,353.07608442168726,336.95673991157673,347.8349175894675,485.8182238300201,584.2356798867667,565.681089075242
,,100,103.24503030375539,107.94464677595735,147.5060866715015,110.04406123248718,134.98308447824436,192.2013686014471,232.72203052414733,209.4201053435512,249.1182073589893,304.73365214988104,294.0707858448346,312.1832196755149,303.56523816040465,359.7627812795536,421.19724691187196,522.9506723064787,572.51117172103
,,100,113.64289756487251,131.27481445858035,131.55217118472018,141.73494297228342,177.72459570690822,140.0307064164055,189.44240117546798,218.44167944331036,244.58381961794703,248.0588975613177,324.4844793424946,300.42028889968094,352.69077378376215,386.3097113207849,365.82696423741334,456.9573978626785,468.2489436455152
,,100,141.2468167003668,142.86828247002936,138.20046583314024,114.47270669735236,138.52150195853906,149.84320835830692,169.97308190189477,207.1534377117635,239.59848864068266,252.28221451407333,282.3347735655748,333.9821361431691,428.773971521091,379.7447705898901,383.35411221049617,388.67937357016024,425.1961961738452
,,100,103.84958297672455,118.98291827812986,130.5574401544994,177.7459063185346,218.83901366084388,166.81821528752837,187.40710808090617,173.78858023671432,221.55493897076968,243.0409921287825,278.52078913308105,253.96627617646948,333.77545663633583,282.0551137018349,389.21506650582967,451.64131474823137,444.91773215125033
,,100,116.1723458484756,129.67776475498874,139.1049134363572,135.48948227445567,155.92137838028145,168.00952107909131,169.33035833389772,227.4683428841691,240.44439671171398,257.4511790321068,295.5409924401298,380.09476918313885,387.54736684608514,447.4488527856731,473.22487908320556,483.4780912789196,497.7850531435603
,,100,105.20403620848944,124.83040080364455,108.12015531517949,147.56942411194115,160.66560466501807,169.95466570675177,186.94168242468783,203.16953155630614,266.88037436147386,218.3622645879286,250.50565279647486,289.6507557339909,255.61319706877802,340.632630537219,322.4456218476695,440.3090476515338,521.3244251290308
,,100,107.55567693487006,116.10194160108293,123.26739697294026,131.74317743079368,179.01983049725567,195.0431436876974,208.53013821032982,200.59438762953994,204.04556655000056,234.1729594827789,331.51822046227505,336.9905829327096,294.61229285305234,374.3535780266179,369.38334521793354,446.6206579525626,478.5428986105931
,,100,73.58530248657068,85.71673641125506,118.6117323403315,148.76812084318578,157.5213407754393,159.30630084444783,201.40345207151188,226.37570535191253,274.054210889173,288.2831869100484,287.4905160754782,345.2843970204698,347.4781992374733,332.6486751881606,467.8164508831568,545.4761094498157,666.1460472261597
,,100,127.61843649013787,89.90997774866551,122.21879226449579,135.40250748902366,136.13049509544047,139.75458161733042,194.25604316071548,238.05339002835018,332.3658599427702,334.19418245911936,347.4490823908426,277.2683689231126,304.7868440600412,351.5489091371959,406.6956680686262,382.20632248492916,464.9554358968484
